"WSEI_SAMPLE_ID","WSEI_LATITUDE","WSEI_LONGITUDE","Date","WSEI_PRIMARY_CONTACT","WSEI_SECONDARY_CONTACT","WSEI_WATER_CLARITY","WSEI_SUSPENDED_PHYTOPLANKTON","WSEI_PERIPHYTON","WSEI_MACROPHYTE","WSEI_ODOR","WSEI_TRASH","WSEI_DISCHARGE_PIPE","WSEI_PRIMARY_VARIABLE","WSEI_CURRENT_WEATHER","WSEI_PREV_WEATHER","WSEI_EPIFAUNAL_COVER","WSEI_EMBEDDEDNESPOOLING","WSEI_VELOCITY_DEPTH_REGIME","WSEI_SEDIMENT_DEPOSITION","WSEI_FLOW_STATUS","WSEI_CHANNEL_ALTERATION","WSEI_RIFFLE_BEND_FREQUENCY","WSEI_LEFT_BANK_STABILITY","WSEI_RIGHT_BANK_STABILITY","WSEI_LEFT_BANK_VEG","WSEI_RIGHT_BANK_VEG","WSEI_LEFT_BANK_VEG_ZONE","WSEI_RIGHT_BANK_VEG_ZONE","CreationDate","EditDate","WSEI_COLLECTION_DATE","WSEI_USER_NOTES"
"42.65487200921697_-76.43464456748933_20220809",42.65487201,-76.43464457,"8/9/2022","f","f",0,0,0,10,0,0,0,"","sun","clouds","a","a","b","a","b","b","b","b","b","b","","b","b","8/17/2022 17:26","8/17/2022 17:26","08/09/2022",""
"41.087683_-73.917535_20220814",41.087683,-73.917535,"8/14/2022","c","f",0,5,10,0,5,5,0,"periphyton,odor,trash","sun","sun","b","b","b","b","b","c","a","a","a","b","c","c","b","2/6/2023 17:10","2/6/2023 17:10","08/14/2022",""
"41.09128_-74.08314_20220801",41.09128,-74.08314,"8/1/2022","e","e",10,0,0,0,5,10,5,"water_clarity,macrophytes,trash,discharges/pipes","clouds","rain","b","b","c","b","c","b","c","c","c","c","c","b","b","2/6/2023 17:13","2/6/2023 17:13","08/01/2022",""
"41.132693_-74.0080694_Invalid Date",41.132693,-74.0080694,"7/26/2022","f","f",0,0,0,0,0,5,5,"trash,discharges/pipes","clouds","clouds","b","a","b","b","c","a","a","c","c","b","a","a","a","2/6/2023 16:52","2/6/2023 17:06","07/26/2022",""
"41.20014_-74.02658_Invalid Date",41.20014,-74.02658,"7/11/2022","d","c",0,0,0,0,0,5,0,"trash","sun","sun","a","a","b","a","a","a","a","b","b","a","a","c","b","2/6/2023 17:00","2/6/2023 17:05","07/11/2022",""
"41.13387_-73.94326_Invalid Date",41.13387,-73.94326,"7/26/2022","d","c",10,5,5,0,5,5,5,"water_clarity,odor,trash,discharges/pipes","clouds","rain","b","b","b","b","b","c","c","b","b","b","a","c","b","2/6/2023 16:40","2/6/2023 17:06","07/26/2022",""
"41.145908_-74.1143819_Invalid Date",41.145908,-74.1143819,"9/16/2022","f","f",0,0,5,0,0,0,0,"other(list)","sun","sun","a","a","b","a","a","a","a","b","b","b","b","a","c","2/6/2023 16:44","2/6/2023 17:06","09/16/2022",""
"40.90606579006306_-73.8137249505859_20220730",40.90606579,-73.81372495,"7/30/2022","","",0,0,10,10,0,10,10,"periphyton,macrophytes,trash,discharges/pipes,other(list)","sun","clouds","b","b","a","b","c","c","b","c","c","b","b","c","","1/27/2023 17:38","1/27/2023 17:38","07/30/2022",""
"42.4893_-74.95855_20220803",42.4893,-74.95855,"8/3/2022","c","b",0,0,0,0,0,0,5,"trash,discharges/pipes","sun","sun","a","a","b","a","b","a","a","a","a","a","a","a","a","11/30/2022 16:35","11/30/2022 16:35","08/03/2022",""
"42.60578_-75.04516_20220819",42.60578,-75.04516,"8/19/2022","a","a",0,0,0,0,0,0,0,"other(list)","clouds","clouds","a","b","a","","b","b","a","a","a","a","a","b","b","11/30/2022 16:18","11/30/2022 16:18","08/19/2022",""
"42.7377_-78.3583_20220913",42.7377,-78.3583,"9/13/2022","f","f",5,0,0,5,0,0,0,"","clouds","rain","a","a","a","a","a","a","b","a","b","a","a","b","b","10/17/2022 18:25","10/17/2022 18:25","09/13/2022",""
"42.461743_-75.055251_20220803",42.461743,-75.055251,"8/3/2022","b","b",5,0,0,0,0,5,0,"trash","sun","sun","b","a","a","a","b","a","a","b","a","b","c","b","c","11/30/2022 16:27","11/30/2022 16:27","08/03/2022",""
"42.66225_-78.44036_20220726",42.66225,-78.44036,"7/26/2022","f","f",5,0,0,0,0,0,0,"","sun","sun","b","b","a","a","a","b","b","a","a","a","a","a","a","10/17/2022 14:37","10/17/2022 14:37","07/26/2022",""
"42.8488_-78.28311_20220923",42.8488,-78.28311,"9/23/2022","f","f",10,0,0,5,5,10,5,"water_clarity","sun","clouds","b","a","b","b","a","b","c","c","b","b","a","b","a","10/18/2022 13:53","10/18/2022 13:53","09/23/2022",""
"42.6501_-78.4468_20220913",42.6501,-78.4468,"9/13/2022","f","f",5,0,0,0,0,0,5,"discharges/pipes","clouds","rain","c","a","b","a","a","c","b","b","a","a","a","b","b","10/18/2022 13:39","10/18/2022 13:39","09/13/2022",""
"42.676_-78.4389_20220913",42.676,-78.4389,"9/13/2022","f","f",10,0,5,0,0,0,0,"water_clarity","sun","rain","a","a","a","a","","a","b","a","b","a","b","a","b","10/18/2022 13:46","10/18/2022 13:46","09/13/2022",""
"42.7374_-78.3079_20220817",42.7374,-78.3079,"8/17/2022","f","f",0,0,5,0,0,0,0,"periphyton","rain","sun","b","a","b","a","a","c","c","a","a","a","a","a","b","10/17/2022 16:52","10/17/2022 16:52","08/17/2022",""
"42.7934_-78.3185_20220817",42.7934,-78.3185,"8/17/2022","f","f",10,0,0,0,0,0,0,"","sun","sun","a","b","a","c","a","c","c","b","a","a","a","a","a","10/17/2022 16:58","10/17/2022 16:58","08/17/2022",""
"42.818375_-78.445938_20220729",42.818375,-78.445938,"7/29/2022","f","f",5,0,10,0,0,0,5,"periphyton,discharges/pipes","sun","sun","c","a","b","a","b","b","b","a","b","b","b","b","b","10/17/2022 14:43","10/17/2022 14:43","07/29/2022",""
"42.67971_-78.3545_20220719",42.67971,-78.3545,"7/19/2022","f","f",0,0,0,0,0,0,0,"","sun","rain","a","a","c","a","a","b","c","a","a","a","a","a","a","10/17/2022 14:30","10/17/2022 14:30","07/19/2022",""
"42.772228_-73.789983_20220910",42.772228,-73.789983,"9/10/2022","e","b",0,10,5,10,10,10,5,"other(list)","sun","sun","b","b","a","b","b","a","a","a","a","a","b","a","b","9/10/2022 15:26","2/6/2023 16:34","09/10/2022",""
"42.766404_-73.788552_Invalid Date",42.766404,-73.788552,"9/10/2022","d","d",0,0,5,0,0,5,0,"other(list)","sun","sun","b","a","c","b","a","a","a","c","a","a","a","a","b","2/6/2023 16:31","2/6/2023 17:06","09/10/2022",""
"42.83967592336285_-73.51194049842789_20220903",42.83967592,-73.5119405,"9/3/2022","b","b",0,0,0,0,0,5,0,"trash,other(list)","sun","sun","a","a","a","a","b","a","a","b","b","a","a","a","b","9/4/2022 13:29","9/4/2022 13:29","09/03/2022",""
"42.722679_-73.992515_20220929",42.722679,-73.992515,"9/29/2022","c","c",0,5,0,0,5,10,5,"periphyton,trash,other(list)","sun","sun","a","a","a","a","b","b","a","a","a","a","a","a","a","9/29/2022 19:50","9/29/2022 19:50","09/29/2022",""
"40.90540323836122_-73.81397398498908_20220730",40.90540324,-73.81397398,"7/30/2022","d","d",0,0,10,10,0,10,0,"periphyton,macrophytes,trash,other(list)","sun","rain","c","c","a","b","c","c","b","c","c","b","b","b","c","1/27/2023 17:34","1/27/2023 17:34","07/30/2022",""
"42.9930248559513_-75.06191509424643_20220820",42.99302486,-75.06191509,"8/20/2022","c","a",0,0,5,0,0,5,0,"periphyton,trash","sun","sun","b","b","b","c","b","a","a","b","b","b","b","a","a","8/20/2022 21:31","8/20/2022 21:31","08/20/2022",""
"43.19647797783366_-74.99386809399334_20220827",43.19647798,-74.99386809,"8/27/2022","f","b",0,0,0,0,0,0,0,"other(list)","sun","sun","b","a","b","b","b","b","b","a","a","a","a","b","b","9/13/2022 10:25","9/13/2022 10:25","08/27/2022",""
"42.64475585882546_-78.54620189422597_20220914",42.64475586,-78.54620189,"9/14/2022","c","d",5,0,5,0,0,0,0,"periphyton","sun","rain","","b","a","a","a","b","a","a","a","c","c","c","c","10/4/2022 14:32","10/4/2022 14:32","09/14/2022",""
