"WSEI_SAMPLE_ID","WSEI_LATITUDE","WSEI_LONGITUDE","WSEI_PRIMARY_CONTACT","WSEI_SECONDARY_CONTACT","WSEI_WATER_CLARITY","WSEI_SUSPENDED_PHYTOPLANKTON","WSEI_PERIPHYTON","WSEI_MACROPHYTE","WSEI_ODOR","WSEI_TRASH","WSEI_DISCHARGE_PIPE","WSEI_PRIMARY_VARIABLE","WSEI_CURRENT_WEATHER","WSEI_PREV_WEATHER","WSEI_EPIFAUNAL_COVER","WSEI_EMBEDDEDNESPOOLING","WSEI_VELOCITY_DEPTH_REGIME","WSEI_SEDIMENT_DEPOSITION","WSEI_FLOW_STATUS","WSEI_CHANNEL_ALTERATION","WSEI_RIFFLE_BEND_FREQUENCY","WSEI_LEFT_BANK_STABILITY","WSEI_RIGHT_BANK_STABILITY","WSEI_LEFT_BANK_VEG","WSEI_RIGHT_BANK_VEG","WSEI_LEFT_BANK_VEG_ZONE","WSEI_RIGHT_BANK_VEG_ZONE","WSEI_COLLECTION_DATE","WSEI_USER_NOTES"
"42.42727750298675_-73.67594242210386_20220930",42.4272775,-73.67594242,"b","b",0,0,5,0,0,0,0,"periphyton","sun","sun","b","b","a","b","a","b","b","a","b","a","b","a","a","09/30/2022",""
"42.813443_-78.422816_20220729",42.813443,-78.422816,"f","f",5,0,5,0,0,0,0,"periphyton","sun","sun","b","a","a","a","b","b","a","a","a","a","a","b","b","07/29/2022",""
"42.65487200921697_-76.43464456748933_20220809",42.65487201,-76.43464457,"f","f",0,0,0,10,0,0,0,"","sun","clouds","a","a","b","a","b","b","b","b","b","b","","b","b","08/09/2022",""
"41.087683_-73.917535_20220814",41.087683,-73.917535,"c","f",0,5,10,0,5,5,0,"periphyton,odor,trash","sun","sun","b","b","b","b","b","c","a","a","a","b","c","c","b","08/14/2022",""
"41.09128_-74.08314_20220801",41.09128,-74.08314,"e","e",10,0,0,0,5,10,5,"water_clarity,macrophytes,trash,discharges/pipes","clouds","rain","b","b","c","b","c","b","c","c","c","c","c","b","b","08/01/2022",""
"41.132693_-74.0080694_Invalid Date",41.132693,-74.0080694,"f","f",0,0,0,0,0,5,5,"trash,discharges/pipes","clouds","clouds","b","a","b","b","c","a","a","c","c","b","a","a","a","07/26/2022",""
"41.20014_-74.02658_Invalid Date",41.20014,-74.02658,"d","c",0,0,0,0,0,5,0,"trash","sun","sun","a","a","b","a","a","a","a","b","b","a","a","c","b","07/11/2022",""
"41.13387_-73.94326_Invalid Date",41.13387,-73.94326,"d","c",10,5,5,0,5,5,5,"water_clarity,odor,trash,discharges/pipes","clouds","rain","b","b","b","b","b","c","c","b","b","b","a","c","b","07/26/2022",""
"41.145908_-74.1143819_Invalid Date",41.145908,-74.1143819,"f","f",0,0,5,0,0,0,0,"other(list)","sun","sun","a","a","b","a","a","a","a","b","b","b","b","a","c","09/16/2022",""
"40.90606579006306_-73.8137249505859_20220730",40.90606579,-73.81372495,"","",0,0,10,10,0,10,10,"periphyton,macrophytes,trash,discharges/pipes,other(list)","sun","clouds","b","b","a","b","c","c","b","c","c","b","b","c","","07/30/2022",""
"42.4893_-74.95855_20220803",42.4893,-74.95855,"c","b",0,0,0,0,0,0,5,"trash,discharges/pipes","sun","sun","a","a","b","a","b","a","a","a","a","a","a","a","a","08/03/2022",""
"42.60578_-75.04516_20220819",42.60578,-75.04516,"a","a",0,0,0,0,0,0,0,"other(list)","clouds","clouds","a","b","a","","b","b","a","a","a","a","a","b","b","08/19/2022",""
"42.7377_-78.3583_20220913",42.7377,-78.3583,"f","f",5,0,0,5,0,0,0,"","clouds","rain","a","a","a","a","a","a","b","a","b","a","a","b","b","09/13/2022",""
"42.461743_-75.055251_20220803",42.461743,-75.055251,"b","b",5,0,0,0,0,5,0,"trash","sun","sun","b","a","a","a","b","a","a","b","a","b","c","b","c","08/03/2022",""
"42.66225_-78.44036_20220726",42.66225,-78.44036,"f","f",5,0,0,0,0,0,0,"","sun","sun","b","b","a","a","a","b","b","a","a","a","a","a","a","07/26/2022",""
"42.8488_-78.28311_20220923",42.8488,-78.28311,"f","f",10,0,0,5,5,10,5,"water_clarity","sun","clouds","b","a","b","b","a","b","c","c","b","b","a","b","a","09/23/2022",""
"42.6501_-78.4468_20220913",42.6501,-78.4468,"f","f",5,0,0,0,0,0,5,"discharges/pipes","clouds","rain","c","a","b","a","a","c","b","b","a","a","a","b","b","09/13/2022",""
"42.676_-78.4389_20220913",42.676,-78.4389,"f","f",10,0,5,0,0,0,0,"water_clarity","sun","rain","a","a","a","a","","a","b","a","b","a","b","a","b","09/13/2022",""
"42.7374_-78.3079_20220817",42.7374,-78.3079,"f","f",0,0,5,0,0,0,0,"periphyton","rain","sun","b","a","b","a","a","c","c","a","a","a","a","a","b","08/17/2022",""
"42.7934_-78.3185_20220817",42.7934,-78.3185,"f","f",10,0,0,0,0,0,0,"","sun","sun","a","b","a","c","a","c","c","b","a","a","a","a","a","08/17/2022",""
"42.818375_-78.445938_20220729",42.818375,-78.445938,"f","f",5,0,10,0,0,0,5,"periphyton,discharges/pipes","sun","sun","c","a","b","a","b","b","b","a","b","b","b","b","b","07/29/2022",""
"42.67971_-78.3545_20220719",42.67971,-78.3545,"f","f",0,0,0,0,0,0,0,"","sun","rain","a","a","c","a","a","b","c","a","a","a","a","a","a","07/19/2022",""
"42.772228_-73.789983_20220910",42.772228,-73.789983,"e","b",0,10,5,10,10,10,5,"other(list)","sun","sun","b","b","a","b","b","a","a","a","a","a","b","a","b","09/10/2022",""
"42.766404_-73.788552_Invalid Date",42.766404,-73.788552,"d","d",0,0,5,0,0,5,0,"other(list)","sun","sun","b","a","c","b","a","a","a","c","a","a","a","a","b","09/10/2022",""
"42.83967592336285_-73.51194049842789_20220903",42.83967592,-73.5119405,"b","b",0,0,0,0,0,5,0,"trash,other(list)","sun","sun","a","a","a","a","b","a","a","b","b","a","a","a","b","09/03/2022",""
"42.722679_-73.992515_20220929",42.722679,-73.992515,"c","c",0,5,0,0,5,10,5,"periphyton,trash,other(list)","sun","sun","a","a","a","a","b","b","a","a","a","a","a","a","a","09/29/2022",""
"40.90540323836122_-73.81397398498908_20220730",40.90540324,-73.81397398,"d","d",0,0,10,10,0,10,0,"periphyton,macrophytes,trash,other(list)","sun","rain","c","c","a","b","c","c","b","c","c","b","b","b","c","07/30/2022",""
"42.9930248559513_-75.06191509424643_20220820",42.99302486,-75.06191509,"c","a",0,0,5,0,0,5,0,"periphyton,trash","sun","sun","b","b","b","c","b","a","a","b","b","b","b","a","a","08/20/2022",""
"43.19647797783366_-74.99386809399334_20220827",43.19647798,-74.99386809,"f","b",0,0,0,0,0,0,0,"other(list)","sun","sun","b","a","b","b","b","b","b","a","a","a","a","b","b","08/27/2022",""
"42.64475585882546_-78.54620189422597_20220914",42.64475586,-78.54620189,"c","d",5,0,5,0,0,0,0,"periphyton","sun","rain","","b","a","a","a","b","a","a","a","c","c","c","c","09/14/2022",""
"42.54917_-73.41194_20200926",42.54917,-73.41194,"a","a",0,0,1,0,0,0,0,NA,"sun","sun","a","a","a","a","b","a","a","a","a","a","a","a","a","09/26/2020","water temp 56 degrees F"
"42.63528_-73.57528_20200901",42.63528,-73.57528,NA,NA,1,0,4,0,0,0,0,NA,NA,NA,"a","b","b","b","b","b","b","b","b","a","a","a","a","09/01/2020",NA
"42.72306_-73.65722_20200702",42.72306,-73.65722,"b","b",9,0,0,1,1,1,4,NA,NA,NA,"c","a","a","a","a","a","a","c","b","a","a","a","a","07/02/2020",NA
"42.70472_-73.58417_20200726",42.70472,-73.58417,"a","a",NA,3,5,0,0,0,0,NA,"sun","sun","b","b","a","b","b","b","a","b","c","a","b","b","b","07/26/2020",NA
"42.705_-73.58333_20200726",42.705,-73.58333,"a","a",0,0,1,0,0,0,0,NA,"sun","sun","b","b","b","a","b","a","a",NA,NA,"b","b","b","b","07/26/2020",NA
"42.51389_-73.51528_20200725",42.51389,-73.51528,"a","a",2,0,2,0,0,0,0,NA,NA,NA,"b","a","a","a","b","a","a","a","c","a","c","a","a","07/25/2020",NA
"42.51444_-73.51611_20200725",42.51444,-73.51611,"a","a",1,0,2,0,0,0,0,NA,"sun","sun","b","a","a","b","b","b","a","b","c","b","c","a","a","07/25/2020",NA
"42.536735_-73.731681_20200823",42.536735,-73.731681,"a","a",0,0,6,0,0,1,3,NA,"sun","sun","b","a","b","b","b","a","a","a","a","a","a","b","b","08/23/2020",NA
"42.524574_-73.754088_20200823",42.524574,-73.754088,"a","a",0,0,2,0,0,0,0,NA,"sun","sun","a","b","b","b","b","a","a","b","b","a","a","a","a","08/23/2020","68 d F"
"41.2071_-73.98949_20200803",41.2071,-73.98949,"b","a",0,0,5,0,0,4,0,"periphyton, trash","sun","sun","b","a","b","a","b","b","a","b","a","b","b","b","c","08/03/2020","at gainerville arts andindustrioal complex @ large head sculpture"
"41.20827_-73.98895_20200810",41.20827,-73.98895,"b","b",1,0,0,0,0,3,1,"trash","sun","sun","b","b","b","a","a","b","a","a","b","c","b","c","c","08/10/2020","behind metal shop @ garnerville historic district"
"42.335_-76.8298_20200813",42.335,-76.8298,"f","f",0,1,1,0,0,0,0,NA,"sun","sun","a","a","b","a","b","a","a","a","a","a","a","a","a","08/13/2020",NA
"42.3285_-76.8848_20200813",42.3285,-76.8848,"f","f",1,1,1,1,0,1,0,NA,"sun","sun","a","a","b","a","a","a","a","b","a","a","a","a","a","08/13/2020",NA
"42.8074_-76.7039_20200930",42.8074,-76.7039,NA,"f",0,1,1,NA,0,0,0,NA,"clouds","rain","a","a","b","a","a","a","a","b","b","a","a","a","a","09/30/2020",NA
"42.691697_-75.450047_20200831",42.691697,-75.450047,"f","f",0,3,3,1,0,0,0,NA,"sun","clouds","b","b","a","b","a","c","c",NA,"b","a","a",NA,"a","08/31/2020","end of watershed next to park"
"42.512444_-75.392667_20200831",42.512444,-75.392667,"c","c",0,4,3,2,0,0,0,NA,"clouds","clouds","a","b","b","b","b","b","a","a",NA,"b",NA,"a",NA,"08/31/2020","next to patch of goldenrod on harley rd."
"42.496547_-75.530205_20200828",42.496547,-75.530205,"b","c",0,3,3,1,0,0,0,NA,"sun","clouds","b","b","a","b","b","b","a","a",NA,"a",NA,"a",NA,"08/28/2020","across from walmart near road"
"42.231478_-75.52556_20200828",42.231478,-75.52556,"b","b",0,3,3,1,0,0,0,NA,"sun","clouds","b","b","b","b","b","a","b","a",NA,"b",NA,"b",NA,"08/28/2020","parking lot next to brook, not very wide"
"42.255465_-75.48722_20200828",42.255465,-75.48722,"b","b",0,3,3,1,0,0,0,NA,"sun","sun","b","b","b","b","b","b","b","b",NA,"b",NA,"b",NA,"08/28/2020","next to railroad"
"43.438678_-73.727212_20200825",43.438678,-73.727212,"f","f",1,0,1,2,1,5,0,NA,"clouds","rain","a","b","a","b","a","a","a","a","b","a","a","b","a","08/25/2020","upstream i-87; downstream sediment basin"
"43.50937_-73.622666_20200908",43.50937,-73.622666,"f","f",0,0,0,0,0,0,0,"other (depth)","sun","sun","a","a","b","a","b","a","a","a","a","a","a","a","a","09/08/2020","Buck Mountain trail"
"43.5185_-73.6746_20200806",43.5185,-73.6746,"f","f",0,NA,0,0,2,0,0,"odor","clouds","rain","a","a","b","a","b","b","a","b","b","a","a","b","b","08/06/2020","downstream from culvert on logging road, upstream from rt 9N"
"43.40914_-73.700036_20200828",43.40914,-73.700036,"f","f",0,1,3,2,0,2,0,"other (depth)","clouds","rain","a","c","c","c","a","b","c","a","a","a","a","a","a","08/28/2020","LG school trail"
"43.489741_-73.682396_20200729",43.489741,-73.682396,"f","f",0,0,2,2,0,0,0,"other (depth)","sun","sun","b","b","b","b","b","b","a","b","a","b","a","b","a","07/29/2020","upstream from 9N"
"43.436098_-73.718349_20200825",43.436098,-73.718349,"f","f",1,1,1,3,0,1,3,"other (depth)","clouds","rain","b","a","b","a","b","b","b","b","b","c","a","c","a","08/25/2020","downstream from 9, upstream from 9N"
"43.639745_-73.506836_20200901",43.639745,-73.506836,"f","f",1,2,1,1,0,2,1,"f","clouds","rain","b","b","a","b","b","c","a","a","b","c","b","c","b","09/01/2020","6b is Huletts; upstream from road"
"43.575302_-73.680243_20200908",43.575302,-73.680243,"f","f",0,4,4,5,0,1,0,"other (depth)","sun","sun","b","b","b","b","c","b","c","c","a","c","a","c","a","09/08/2020","across from Bolton Rec Center entrance"
"43.634888_-73.507996_20200901",43.634888,-73.507996,"f","f",0,0,0,1,0,2,1,"other (depth)","clouds","rain","b","a","a","a","b","b","a","a","b","a","a","a","a","09/01/2020","downstream from culvert on Goldey Rd"
"43.399483_-73.728491_20200727",43.399483,-73.728491,"f","f",0,0,0,0,0,2,1,"other (water level)","sun","sun","b","a","b","a","b","b","a","a","b","a","b","c","a","07/27/2020","downstream from transfer station, downstream from rec center"
"43.749573_-73.504681_20200818",43.749573,-73.504681,"f","f",0,1,0,1,0,0,2,"other (depth)","sun","sun","b","a","a","a","b","b","a","a","b","a","a","c","a","08/18/2020","upstream from 9N, on Hague Brook Trail"
"43.737856_-73.502778_20200925",43.737856,-73.502778,"f","f",0,2,1,1,0,0,1,"other (depth)","sun","sun","a","a","a","b","b","a","a","a","a","a","b","a","c","09/25/2020","upstream 9N"
"43.72956_-73.500919_20200818",43.72956,-73.500919,"f","f",0,1,1,1,0,0,4,"other (depth)","sun","sun","b","a","a","b","b","b","a","b","a","c","b","c","c","08/18/2020","upstream from 9N"
"43.6252_-73.6072_20200806",43.6252,-73.6072,"f","f",0,1,1,0,0,0,0,"other (depth)","sun","sun","a","a","a","a","a","a","a","a","a","a","a","a","b","08/06/2020","downstream from 9N"
"43.6014_-73.6349_20200816",43.6014,-73.6349,"f","f",0,1,2,2,0,1,0,"other (depth)","sun","sun","a","b","a","a","b","a","a","a","b","b","a","b","a","08/16/2020","upstream from 9N"
"43.552313_-73.597178_20200927",43.552313,-73.597178,"f","f",0,2,2,2,0,3,1,NA,"clouds","sun","a","a","a","b","b","a","a","a","a","a","a","a","a","09/27/2020","downstream from Shelving Rock Rd, upstream from Shelving Rock Falls"
"43.4159942_-73.71744633_20200904",43.4159942,-73.71744633,"f","f",0,3,3,0,0,0,0,"other (depth)","sun","sun","a","a","b","b","b","b","a","b","a","a","a","a","a","09/04/2020","upstream from 9, downstream from i-87"
"43.4017_-73.7358_20200724",43.4017,-73.7358,"f","f",0,0,1,2,0,2,1,"other (depth)","sun","sun","a","a","b","b","b","b","a","b","b","b","a","a","a","07/24/2020","on trail by outdoor classroom, upstream from village and dump"
"42.1585008_-74.2081855_20200904",42.1585008,-74.2081855,NA,NA,0,0,0,0,0,0,0,NA,"sun","sun, rain, clouds","a","a","a","a","a","b","a","a","a","a","a","a","a","09/04/2020","upstream of trail crossing footbridge"
"42.2058166_-74.2080577_20200901",42.2058166,-74.2080577,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"a","a","a","a","a","a","a","a","a","a","a","a","a","09/01/2020",NA
"43.5179606_-75.759111_20200723",43.5179606,-75.759111,"a","a",0,0,2,0,0,0,0,NA,"sun","sun","b","a","b","a","b","b","a","a","a","a","a","a","a","07/23/2020","upstream of bridge or waterbury rd, ryan rd and prince brook rd"
"41.4019_-74.34147_20180905",41.4019,-74.34147,"d","d",1,1,2,0,4,2,9,"odor, trash, discharges/pipes",NA,NA,"b","a","b","b","b","b","b","c","c","a","b","a","b","09/05/2018","dead animal, orange heritage trial, goshen-upstream of plant"
"41.46534_-74.38698_20180905",41.46534,-74.38698,NA,NA,1,1,3,0,2,1,0,"odor",NA,NA,"a","b","b","b","b","b","a","a","a","a","a","a","c","09/05/2018","upstream of disabled american vets tunnel"
"41.3412_-74.54362_20180905",41.3412,-74.54362,"b","b",2,0,3,0,0,0,0,"other (road close)",NA,NA,"b","a","b","b","b","a","b","c","c","a","a","a","c","09/05/2018","upstream of Rt 1 bridge, westtown, 1/3 mile west of route 284"
"42.18600292_-74.18982574_20200831",42.18600292,-74.18982574,"a","a",0,0,0,0,0,0,0,NA,NA,NA,"a","a","a","a","a","a","a","a","a","a","a","a","a","08/31/2020","upstream of bridge on Plateau Rd"
"41.059388701_-73.9426678_20200711",41.059388701,-73.9426678,NA,NA,3,3,4,1,0,2,0,NA,"sun","rain","b","b","a","b","b","b","a","b",NA,"c","b","b","b","07/11/2020",NA
"42.928867_-78.234509_20200915",42.928867,-78.234509,"d","c",4,2,4,0,0,5,5,"other (silt)","sun","sun","b","c","b","c","b","b","c","c","c","b","b","b","b","09/15/2020","0-100' upstream Peauiner Bridge"
"43.021925_-78.351025_20200916",43.021925,-78.351025,"b","b",2,1,6,2,0,2,0,"other (silt)","sun","sun","b","b","a","c","a","a","a","a","a","a","a","a","b","09/16/2020","Location of removed Arville Rd bridge"
"42.916457_-78.199153_20200910",42.916457,-78.199153,"a","a",0,0,7,1,0,1,0,"periphyton","clouds","sun","a","b","b","b","a","b","b","a","a","a","a","b","b","09/10/2020","upstream of Gilhooly Rd Bridge"
"42.936933_-78.288087_20200915",42.936933,-78.288087,NA,NA,2,1,2,0,0,1,0,"other (silt)","sun","sun","a","b","b","b","b","b","b","a","a","a","a","a","a","09/15/2020","Dodgeson Rd Bridge"
"42.875617_-78.25839_20200910",42.875617,-78.25839,"c","c",7,3,7,1,3,0,5,"water clarity,periphyton,odor, discharges/pipes","clouds","sun","b","b","b","b","a","b","b","a","c","b","b","b","c","09/10/2020","riffle section upstream Stron Rd bridge"
"42.9208_-78.2948_20200910",42.9208,-78.2948,"a","a",2,2,7,4,1,0,1,"periphyton, other (water level)","clouds","sun","a","b","a","b","b","b","b","b","b","a","a","c","b","09/10/2020","Walker Rd bridge"
"43.003717_-78.260086_20200916",43.003717,-78.260086,"c","b",3,2,6,3,0,3,2,"trash","sun","sun","b","b","b","b","a","b","a","a","b","b","a","a","c","09/16/2020","0-100' downstream Rt 5 bridge, along Stegman rd"
"41.04417_-73.93861_20200730",41.04417,-73.93861,NA,NA,8,3,2,2,4,5,2,"water clarity, trash",NA,NA,"b","c","c","b","c","a","c","a","b","b","b","a","a","07/30/2020","minor tribs, upper Sparkill Creek"
"44.78603_-73.90148_20200726",44.78603,-73.90148,NA,NA,2,0,7,0,0,0,0,"periphyton","sun, clouds","sun","a","b","a","a","b","a","a","a","a","a","a","a","a","07/26/2020",NA
"44.73778_73.91444_20200828",44.73778,73.91444,"a","a",1,0,0,0,0,2,0,"other (size)","sun","sun, clouds","a","a","b","a","a","b","a","a","a","a","a","b","a","08/28/2020","Lyon mountain, NY"
"44.78667_-73.90167_20200828",44.78667,-73.90167,"a","a",1,0,1,0,0,0,0,NA,NA,NA,"a","a","b","a","a","a","a","a","a","a","a","a","a","08/28/2020","Bradley Pond Rd, Ellenburg ~ 3 mi north of rt 374 intersection"
"42.6134_-73.6385_20200904",42.6134,-73.6385,"a","a",1,1,1,1,0,1,0,NA,"sun","sun","a","a","b","b","a","a","a","a","a","a","a","a","a","09/04/2020","N. Br. Moordener Kill in Best @ Best-Luther Rd"
"42.5558_-73.677_20200904",42.5558,-73.677,"c","b",1,1,3,1,0,1,0,"periphyton","sun","sun","a","a","a","a","a","a","a","a","a","a","b","a","b","09/04/2020","N. Br-MoordenerKill in Schodack @ Rt 9/20 Br"
"41.19997_-74.02677_20200817",41.19997,-74.02677,"b","a",0,0,2,5,0,2,0,"macrophytes","sun","rain","a","b","b","b","b","a","b","b","b","b","b","b","b","08/17/2020",NA
"40.6615_-73.6035_20190913",40.6615,-73.6035,"e","e",0,0,4,3,0,1,1,"the stream is very shallow, only a few inches today",NA,NA,"c","c","c","a","a","a","b","a","a","b","b","b","c","9/13/2019",""
"40.6615_-73.6036_20180929",40.6615,-73.6036,"c","e",0,1,1,2,0,2,0,"","sun","clouds","c","a","c","a","a","b","c","a","a","b","b","c","a","9/29/2018",""
"40.664_-73.6539_20170726",40.664,-73.6539,"e","e",3,0,0,5,0,10,0,"trash, macrophytes",NA,NA,"a","c","c","a","a","b","c","a","a","a","a","a","a","7/26/2017",""
"40.6688_-73.4829_20170909",40.6688,-73.4829,"d","e",3,0,0,2,5,3,0,"water clarity, macrophytes, odor, trash","sun","sun","c","c","c","c","c","b","c","c","c","c","c","b","b","9/9/2017","depth and bugs"
"40.6914_-73.3575_20170701",40.6914,-73.3575,"e","e",4,2,4,7,0,4,0,"macrophytes","clouds","clouds","a","c","b","c","a","b","b","a","a","a","a","b","b","7/1/2017",""
"40.7033_-73.3277_20170917",40.7033,-73.3277,NA,NA,1,7,NA,NA,1,2,1,"","clouds","rain","b","c","b","b","b","b",NA,NA,NA,NA,NA,NA,NA,"9/17/2017",""
"40.714_-73.3279_20170917",40.714,-73.3279,NA,NA,2,3,9,NA,6,6,4,"","clouds","clouds","a","c","b","c","c","a",NA,NA,NA,NA,NA,NA,NA,"9/17/2017",""
"40.7158_-73.3287_20170917",40.7158,-73.3287,NA,NA,7,2,NA,NA,5,4,2,"","clouds","clouds","a","c","c","c","b","a",NA,NA,NA,NA,NA,NA,NA,"9/17/2017",""
"40.7324_-73.2507_20170804",40.7324,-73.2507,"d","c",1,1,1,1,1,7,4,"trash, discharge/pipes","sun",NA,"a","b","b","b","a","b","b","a","a","a","b","b","b","8/4/2017",""
"40.7549_-73.7453_20170728",40.7549,-73.7453,"c","b",1,4,4,0,0,0,0,"phytoplankton, periphyton","sun","rain","b","b","b","b","b","b","b","b","b","b","b","b","b","7/28/2017",""
"40.7566_-73.7461_20170728",40.7566,-73.7461,"c","b",0,0,0,2,0,0,9,"discharge pipes","sun","rain","b","b","b","b","a","b","b","b","b","b","b","b","b","7/28/2017",""
"40.7728_-73.033_20170929",40.7728,-73.033,"e","e",7,0,5,NA,3,2,0,"","sun","sun","a","c","c","b","a","a","b","a","a","a","a","a","b","9/29/2017",""
"40.8498_-73.2237_20170917",40.8498,-73.2237,"a","a",0,0,3,4,0,0,0,"","sun","sun","a","a","b","a","a","b","b","a","a","a","a","a","a","9/17/2017",""
"40.8847_-73.6174_20170902",40.8847,-73.6174,"b","b",0,0,0,3,0,3,0,"trash","sun","sun","b","b","b","c","b","b","c","a","b","a","a","a","a","9/2/2017",""
"40.9079_-73.8842_20160805",40.9079,-73.8842,"e","e",3,3,6,0,6,8,10,"periphyton, odor, trash, discharge pipes","sun","sun","c","b","c","c","b","c","a","c","b","c","c","c","b","8/5/2016",""
"40.9079_-73.8896_20160805",40.9079,-73.8896,"e","e",3,0,0,0,3,7,6,"trash","sun","sun","b","c","c","c","b","a","b","b","b","b","b","b","b","8/5/2016",""
"40.9138_-73.8835_20160805",40.9138,-73.8835,"d","c",3,0,4,4,2,4,1,"trash","sun","sun","b","b","b","b","b","a","b","b","b","b","b","b","c","8/5/2016",""
"40.9899_-73.8632_20160925",40.9899,-73.8632,NA,NA,4,1,8,1,1,3,1,"periphyton","sun","sun","b","b","a","b","b","c","a","c","c","c","c","b","b","9/25/2016",""
"40.9899_-73.8632_20170930",40.9899,-73.8632,NA,NA,3,1,7,1,1,3,0,"","clouds","sun","b","b","b","b","b","c","b","c","c","c","c","c","c","9/30/2017",""
"40.9899_-73.8632_20180929",40.9899,-73.8632,"e","b",9,0,1,1,4,3,1,"water clarity, trash","sun","clouds","b","a","b","b","a","b","a","b",NA,"b",NA,"c",NA,"9/29/2018",""
"40.9899_-73.8632_20190818",40.9899,-73.8632,"d","d",4,0,2,1,6,2,4,"odor, pipes","clouds","rain","b","b","b","a","a","b","b","c",NA,"c","c","b","c","8/18/2019",""
"41.0188_-73.8457_20160925",41.0188,-73.8457,NA,NA,2,2,8,2,0,1,2,"periphyton, discharges/pipes","sun","sun","b","b","b","c","b","a","b","c","c","c","c","c","c","9/25/2016","highway close by"
"41.0188_-73.8457_20170930",41.0188,-73.8457,NA,NA,2,3,6,2,1,0,1,"","clouds","sun","b","b","b","c","b","b","b","c","c","c","c","c","c","9/30/2017",""
"41.0188_-73.8457_20180929",41.0188,-73.8457,"b","c",7,0,4,3,3,1,0,"discharge/pipes, other","sun","clouds","a","b","a","b","a","b","b","b",NA,"a",NA,"b",NA,"9/29/2018","traffic noise"
"41.0188_-73.8457_20190818",41.0188,-73.8457,"d","d",5,1,1,3,3,1,4,"","clouds","rain","b","a","b","b","a","a","b","c","b","b","b","c","b","8/18/2019",""
"41.019_-73.947_20190712",41.019,-73.947,"f","c",4,1,4,1,5,0,0,"shallow","sun","rain","b","a","a","b","b","b","a","b","a","c","c","a","b","7/12/2019",""
"41.0193_-74.0824_20170710",41.0193,-74.0824,"f","f",2,0,3,4,4,4,0,"trash","sun","sun","b","a","a","b","b","a","a","b","b","c","c","b","b","7/10/2017",""
"41.0198_-73.947_20180716",41.0198,-73.947,"d","c",2,2,0,0,0,0,0,"water clarity, phytoplankton","sun","sun","b","b","b","b","b","b","b","b","c","b","c","b","b","7/16/2018",""
