ObjectID,GlobalID,Order,Family,Final ID,"Please describe the ""other"" bug",Please include any other notes about the particular bug.,ParentGlobalID,CreationDate,Creator,EditDate,Editor
26,4dc4ab67-f2fc-427f-86ff-8fb30ea31b35,Diptera: Chironomidae,,(Diptera: Chironomidae) ,,need midge id-3/3 KAR  not chiron,ed4f2e19-4b83-43db-816c-288f534469f3,1/5/2021 19:44,keleigh.reynolds@dec.ny.gov_nysdec,3/23/2021 13:47,keleigh.reynolds@dec.ny.gov_nysdec
27,1d72ccea-80c6-4b26-89ee-70881c97168b,Diptera,Tipulidae,(Diptera) Tipulidae,,"ripped the head off by mistake, not exposed, was trying to dig it out.",ed4f2e19-4b83-43db-816c-288f534469f3,1/5/2021 19:44,keleigh.reynolds@dec.ny.gov_nysdec,3/23/2021 13:47,keleigh.reynolds@dec.ny.gov_nysdec
28,e0e6704b-3c79-4380-8454-e6b1afbaf42f,Odonata,Coenagrionidae,(Odonata) Coenagrionidae,,,ed4f2e19-4b83-43db-816c-288f534469f3,1/5/2021 19:44,keleigh.reynolds@dec.ny.gov_nysdec,3/23/2021 13:47,keleigh.reynolds@dec.ny.gov_nysdec
29,8b1cff41-2a4b-441d-8d9b-09396e1c68f3,Odonata,Coenagrionidae,(Odonata) Coenagrionidae,,,ed4f2e19-4b83-43db-816c-288f534469f3,1/5/2021 19:44,keleigh.reynolds@dec.ny.gov_nysdec,3/23/2021 13:47,keleigh.reynolds@dec.ny.gov_nysdec
30,ebd1cd70-b207-426f-8947-01e1159d481d,Odonata,Coenagrionidae,(Odonata) Coenagrionidae,,,ed4f2e19-4b83-43db-816c-288f534469f3,1/5/2021 19:44,keleigh.reynolds@dec.ny.gov_nysdec,3/23/2021 13:47,keleigh.reynolds@dec.ny.gov_nysdec
31,79997f8a-39cd-42ab-8a34-5f341f9633f8,Odonata,Coenagrionidae,(Odonata) Coenagrionidae,,,ed4f2e19-4b83-43db-816c-288f534469f3,1/5/2021 19:44,keleigh.reynolds@dec.ny.gov_nysdec,3/23/2021 13:47,keleigh.reynolds@dec.ny.gov_nysdec
32,43898cf6-ab9b-4be2-8207-db5420a4ff92,Odonata,Coenagrionidae,(Odonata) Coenagrionidae,,,ed4f2e19-4b83-43db-816c-288f534469f3,1/5/2021 19:44,keleigh.reynolds@dec.ny.gov_nysdec,3/23/2021 13:47,keleigh.reynolds@dec.ny.gov_nysdec
33,c4e1574f-7db9-4524-8941-4c647e7e1635,Diptera,Athericidae,(Diptera) Athericidae,,,34f3e555-6a34-493e-8014-bcdd53511a12,1/5/2021 20:44,keleigh.reynolds@dec.ny.gov_nysdec,1/5/2021 20:44,keleigh.reynolds@dec.ny.gov_nysdec
34,7198542d-2fa4-4240-800c-1d7cb2982cfa,Crustacea,Amphipoda,(Crustacea) Amphipoda,,,34f3e555-6a34-493e-8014-bcdd53511a12,1/5/2021 20:44,keleigh.reynolds@dec.ny.gov_nysdec,1/5/2021 20:44,keleigh.reynolds@dec.ny.gov_nysdec
35,ef46557b-dfe0-4104-8983-5332d2ebd149,Plecoptera,Perlidae,(Plecoptera) Perlidae,,,34f3e555-6a34-493e-8014-bcdd53511a12,1/5/2021 20:44,keleigh.reynolds@dec.ny.gov_nysdec,1/5/2021 20:44,keleigh.reynolds@dec.ny.gov_nysdec
36,43319c70-ceae-4cbe-80e3-79da049a3d55,Plecoptera,Perlidae,(Plecoptera) Perlidae,,,34f3e555-6a34-493e-8014-bcdd53511a12,1/5/2021 20:44,keleigh.reynolds@dec.ny.gov_nysdec,1/5/2021 20:44,keleigh.reynolds@dec.ny.gov_nysdec
37,c2eaed4d-efad-4e53-869c-1757ae0dbf8e,Plecoptera,Perlidae,(Plecoptera) Perlidae,,,34f3e555-6a34-493e-8014-bcdd53511a12,1/5/2021 20:44,keleigh.reynolds@dec.ny.gov_nysdec,1/5/2021 20:44,keleigh.reynolds@dec.ny.gov_nysdec
38,ae7a950d-afeb-475f-82d6-ca468382041d,Plecoptera,Perlidae,(Plecoptera) Perlidae,,,34f3e555-6a34-493e-8014-bcdd53511a12,1/5/2021 20:44,keleigh.reynolds@dec.ny.gov_nysdec,1/5/2021 20:44,keleigh.reynolds@dec.ny.gov_nysdec
39,11117d60-482a-4fb5-8d86-13094bed81bc,Diptera,Tipulidae,(Diptera) Tipulidae,,,34f3e555-6a34-493e-8014-bcdd53511a12,1/5/2021 20:44,keleigh.reynolds@dec.ny.gov_nysdec,1/5/2021 20:44,keleigh.reynolds@dec.ny.gov_nysdec
40,407497ac-fdf8-4bec-81d4-e1b87dfd45c3,Trichoptera,Hydropsychidae,(Trichoptera) Hydropsychidae,,,34f3e555-6a34-493e-8014-bcdd53511a12,1/5/2021 20:44,keleigh.reynolds@dec.ny.gov_nysdec,1/5/2021 20:44,keleigh.reynolds@dec.ny.gov_nysdec
41,23209c7e-4f0f-4423-84ea-4e51614ca0d5,Trichoptera,Hydropsychidae,(Trichoptera) Hydropsychidae,,,34f3e555-6a34-493e-8014-bcdd53511a12,1/5/2021 20:44,keleigh.reynolds@dec.ny.gov_nysdec,1/5/2021 20:44,keleigh.reynolds@dec.ny.gov_nysdec
42,57cff4e4-8777-4f63-8d8b-ce1a4637d439,Trichoptera,Hydropsychidae,(Trichoptera) Hydropsychidae,,,34f3e555-6a34-493e-8014-bcdd53511a12,1/5/2021 20:44,keleigh.reynolds@dec.ny.gov_nysdec,1/5/2021 20:44,keleigh.reynolds@dec.ny.gov_nysdec
43,50357397-305f-404c-821b-57c4baf69e11,Trichoptera,Polycentropodidae,(Trichoptera) Polycentropodidae,,"pretty well destroyed the head on this guy. very fleshy body, trochantin pointed though.",34f3e555-6a34-493e-8014-bcdd53511a12,1/5/2021 20:44,keleigh.reynolds@dec.ny.gov_nysdec,1/5/2021 20:44,keleigh.reynolds@dec.ny.gov_nysdec
44,fbfee186-35ea-4ce9-809d-261d90d7d4cb,Coleoptera,Psephenidae,(Coleoptera) Psephenidae,,,34f3e555-6a34-493e-8014-bcdd53511a12,1/5/2021 20:44,keleigh.reynolds@dec.ny.gov_nysdec,1/5/2021 20:44,keleigh.reynolds@dec.ny.gov_nysdec
45,f6c93d4d-ecb2-4315-83d4-94b375db1db5,Coleoptera,Psephenidae,(Coleoptera) Psephenidae,,,34f3e555-6a34-493e-8014-bcdd53511a12,1/5/2021 20:44,keleigh.reynolds@dec.ny.gov_nysdec,1/5/2021 20:44,keleigh.reynolds@dec.ny.gov_nysdec
46,5edc4cd1-39be-4225-8834-7ffeeeeaa89e,Coleoptera,Psephenidae,(Coleoptera) Psephenidae,,,34f3e555-6a34-493e-8014-bcdd53511a12,1/5/2021 20:44,keleigh.reynolds@dec.ny.gov_nysdec,1/5/2021 20:44,keleigh.reynolds@dec.ny.gov_nysdec
47,ecad5d6a-2b19-456e-8f59-7941ebca54c9,Coleoptera,Psephenidae,(Coleoptera) Psephenidae,,,be27f095-5c2d-41be-8918-58d4da425d8d,1/5/2021 21:30,meredith.streeter@dec.ny.gov_nysdec,1/5/2021 21:30,meredith.streeter@dec.ny.gov_nysdec
48,6179cc78-5115-4627-8434-8b20871f1beb,Coleoptera,Psephenidae,(Coleoptera) Psephenidae,,,be27f095-5c2d-41be-8918-58d4da425d8d,1/5/2021 21:30,meredith.streeter@dec.ny.gov_nysdec,1/5/2021 21:30,meredith.streeter@dec.ny.gov_nysdec
49,c3a319f5-545f-4fbd-8b4c-1b2055a1f7aa,Diptera,Tipulidae,(Diptera) Tipulidae,,,be27f095-5c2d-41be-8918-58d4da425d8d,1/5/2021 21:30,meredith.streeter@dec.ny.gov_nysdec,1/5/2021 21:30,meredith.streeter@dec.ny.gov_nysdec
50,79062d6f-387d-4b04-85e4-d707bf8e7fb4,Diptera,Tipulidae,(Diptera) Tipulidae,,,be27f095-5c2d-41be-8918-58d4da425d8d,1/5/2021 21:30,meredith.streeter@dec.ny.gov_nysdec,1/5/2021 21:30,meredith.streeter@dec.ny.gov_nysdec
51,c7aef5a4-a0bd-401f-8899-cfabe96ccec8,Diptera,Tipulidae,(Diptera) Tipulidae,,,be27f095-5c2d-41be-8918-58d4da425d8d,1/5/2021 21:30,meredith.streeter@dec.ny.gov_nysdec,1/5/2021 21:30,meredith.streeter@dec.ny.gov_nysdec
52,7565780f-25f8-44b3-87cd-26bcf5941b5b,Diptera,Tipulidae,(Diptera) Tipulidae,,,be27f095-5c2d-41be-8918-58d4da425d8d,1/5/2021 21:30,meredith.streeter@dec.ny.gov_nysdec,1/5/2021 21:30,meredith.streeter@dec.ny.gov_nysdec
53,9ab185e6-7839-4640-8bb5-390883980e54,Diptera,Tipulidae,(Diptera) Tipulidae,,,be27f095-5c2d-41be-8918-58d4da425d8d,1/5/2021 21:30,meredith.streeter@dec.ny.gov_nysdec,1/5/2021 21:30,meredith.streeter@dec.ny.gov_nysdec
54,2626d525-ac2c-4367-8820-814e7674cd4e,Plecoptera,Perlidae,(Plecoptera) Perlidae,,,be27f095-5c2d-41be-8918-58d4da425d8d,1/5/2021 21:30,meredith.streeter@dec.ny.gov_nysdec,1/5/2021 21:30,meredith.streeter@dec.ny.gov_nysdec
55,a70ff51c-189b-41bd-8e69-f2fda7edf66d,Odonata,Aeshnidae,(Odonata) Aeshnidae,,,be27f095-5c2d-41be-8918-58d4da425d8d,1/5/2021 21:30,meredith.streeter@dec.ny.gov_nysdec,1/5/2021 21:30,meredith.streeter@dec.ny.gov_nysdec
56,497a7290-f96a-40dc-8926-29cff3ecf4bd,Plecoptera,Perlidae,(Plecoptera) Perlidae,,,be27f095-5c2d-41be-8918-58d4da425d8d,1/5/2021 21:30,meredith.streeter@dec.ny.gov_nysdec,1/5/2021 21:30,meredith.streeter@dec.ny.gov_nysdec
57,7254c05f-1f7f-494c-8bae-ced1f2aa2a6c,Odonata,Anisoptera,(Odonata) Anisoptera,,,be27f095-5c2d-41be-8918-58d4da425d8d,1/5/2021 21:30,meredith.streeter@dec.ny.gov_nysdec,1/5/2021 21:30,meredith.streeter@dec.ny.gov_nysdec
58,dfd817cc-f713-447d-843e-22ab79e258a4,Plecoptera,Perlidae,(Plecoptera) Perlidae,,,be27f095-5c2d-41be-8918-58d4da425d8d,1/5/2021 21:30,meredith.streeter@dec.ny.gov_nysdec,1/5/2021 21:30,meredith.streeter@dec.ny.gov_nysdec
59,eff5a8c9-48a7-4890-86a4-f1fed365858e,Trichoptera,Hydropsychidae,(Trichoptera) Hydropsychidae,,,be27f095-5c2d-41be-8918-58d4da425d8d,1/5/2021 21:30,meredith.streeter@dec.ny.gov_nysdec,1/5/2021 21:30,meredith.streeter@dec.ny.gov_nysdec
60,ed28fb3b-53de-46e8-8169-ce06d751ae64,Trichoptera,Hydropsychidae,(Trichoptera) Hydropsychidae,,,be27f095-5c2d-41be-8918-58d4da425d8d,1/5/2021 21:30,meredith.streeter@dec.ny.gov_nysdec,1/5/2021 21:30,meredith.streeter@dec.ny.gov_nysdec
61,f270238a-ce80-46ea-82a3-9e0f6c1c305b,Coleoptera,Elmidae,(Coleoptera) Elmidae,,,be27f095-5c2d-41be-8918-58d4da425d8d,1/5/2021 21:30,meredith.streeter@dec.ny.gov_nysdec,1/5/2021 21:30,meredith.streeter@dec.ny.gov_nysdec
62,a01dbe11-4880-4889-8f9f-930fa1d4f537,Coleoptera,Elmidae,(Coleoptera) Elmidae,,,be27f095-5c2d-41be-8918-58d4da425d8d,1/5/2021 21:30,meredith.streeter@dec.ny.gov_nysdec,1/5/2021 21:30,meredith.streeter@dec.ny.gov_nysdec
63,593b9933-500f-4c39-8c30-94d95f267a2e,Megaloptera,Corydalidae,(Megaloptera) Corydalidae,,,be27f095-5c2d-41be-8918-58d4da425d8d,1/5/2021 21:30,meredith.streeter@dec.ny.gov_nysdec,1/5/2021 21:30,meredith.streeter@dec.ny.gov_nysdec
64,05717c90-b7b2-48e0-8a6b-5e0df508b288,OTHER,,(OTHER) ,appears to be the pupa of an insect.  Possibly a midge.  ,,be27f095-5c2d-41be-8918-58d4da425d8d,1/5/2021 21:30,meredith.streeter@dec.ny.gov_nysdec,1/5/2021 21:30,meredith.streeter@dec.ny.gov_nysdec
65,1d64af17-eceb-4c7a-8f4a-c506ac4352a7,Plecoptera,Perlidae,(Plecoptera) Perlidae,,,be27f095-5c2d-41be-8918-58d4da425d8d,1/5/2021 21:30,meredith.streeter@dec.ny.gov_nysdec,1/5/2021 21:30,meredith.streeter@dec.ny.gov_nysdec
66,d2c3c0ef-fbac-4854-8d4c-9b5c972f0488,Diptera,Athericidae,(Diptera) Athericidae,,,be27f095-5c2d-41be-8918-58d4da425d8d,1/5/2021 21:30,meredith.streeter@dec.ny.gov_nysdec,1/5/2021 21:30,meredith.streeter@dec.ny.gov_nysdec
67,8ac94fb0-aea7-4178-8e26-ca3a9b9b36cb,Coleoptera,Elmidae,(Coleoptera) Elmidae,,,be27f095-5c2d-41be-8918-58d4da425d8d,1/5/2021 21:30,meredith.streeter@dec.ny.gov_nysdec,1/5/2021 21:30,meredith.streeter@dec.ny.gov_nysdec
68,ac08e765-454b-423d-8781-5786c25bfa97,Trichoptera,Leptoceridae,(Trichoptera) Leptoceridae,,,be27f095-5c2d-41be-8918-58d4da425d8d,1/5/2021 21:30,meredith.streeter@dec.ny.gov_nysdec,1/5/2021 21:30,meredith.streeter@dec.ny.gov_nysdec
69,6487a2b9-9c3f-4fcb-83d8-9036bfafb980,Ephemeroptera,Heptageniidae,(Ephemeroptera) Heptageniidae,,,975b5a6e-7b5b-4988-8563-49921d11f686,1/12/2021 16:43,keleigh.reynolds@dec.ny.gov_nysdec,1/12/2021 16:43,keleigh.reynolds@dec.ny.gov_nysdec
70,16ee0095-251e-4f18-809d-bb2659040bb9,Crustacea: Amphipoda,Gammaridea,(Crustacea: Amphipoda) Gammaridea,,,975b5a6e-7b5b-4988-8563-49921d11f686,1/12/2021 16:43,keleigh.reynolds@dec.ny.gov_nysdec,3/23/2021 16:42,keleigh.reynolds@dec.ny.gov_nysdec
71,d496cc5a-91fc-4238-832b-416c4548e44f,Wormlike,Hirudinea,(Wormlike) Hirudinea,,,975b5a6e-7b5b-4988-8563-49921d11f686,1/12/2021 16:43,keleigh.reynolds@dec.ny.gov_nysdec,3/23/2021 16:42,keleigh.reynolds@dec.ny.gov_nysdec
72,789c199d-0cf0-4862-85e6-4ca3b99ec521,Mollusca: Gastropoda,Physidae,(Mollusca: Gastropoda) Physidae,,,975b5a6e-7b5b-4988-8563-49921d11f686,1/12/2021 16:43,keleigh.reynolds@dec.ny.gov_nysdec,3/23/2021 16:42,keleigh.reynolds@dec.ny.gov_nysdec
73,0391093f-7e2d-4d88-871c-9875cbefd9e5,Coleoptera,Elmidae,(Coleoptera) Elmidae,,,975b5a6e-7b5b-4988-8563-49921d11f686,1/12/2021 16:43,keleigh.reynolds@dec.ny.gov_nysdec,3/23/2021 16:42,keleigh.reynolds@dec.ny.gov_nysdec
74,c6a8f894-fc83-4fe3-886e-9b84b5e11762,Trichoptera,Hydropsychidae,(Trichoptera) Hydropsychidae,,,975b5a6e-7b5b-4988-8563-49921d11f686,1/12/2021 16:43,keleigh.reynolds@dec.ny.gov_nysdec,3/23/2021 16:42,keleigh.reynolds@dec.ny.gov_nysdec
75,f0307b7b-307e-42eb-8bc4-e6771f3051a9,Trichoptera,Hydropsychidae,(Trichoptera) Hydropsychidae,,,975b5a6e-7b5b-4988-8563-49921d11f686,1/12/2021 16:43,keleigh.reynolds@dec.ny.gov_nysdec,3/23/2021 16:42,keleigh.reynolds@dec.ny.gov_nysdec
76,d7058867-0afb-4985-88b5-786ad5b2b06f,Trichoptera,Hydropsychidae,(Trichoptera) Hydropsychidae,,,975b5a6e-7b5b-4988-8563-49921d11f686,1/12/2021 16:43,keleigh.reynolds@dec.ny.gov_nysdec,3/23/2021 16:42,keleigh.reynolds@dec.ny.gov_nysdec
77,eb444bac-5fa9-40c2-8da8-479202c0e2c3,Trichoptera,Hydropsychidae,(Trichoptera) Hydropsychidae,,,975b5a6e-7b5b-4988-8563-49921d11f686,1/12/2021 16:43,keleigh.reynolds@dec.ny.gov_nysdec,3/23/2021 16:42,keleigh.reynolds@dec.ny.gov_nysdec
78,3c5b3016-fc30-4f85-801b-69609ee03225,Trichoptera,Hydropsychidae,(Trichoptera) Hydropsychidae,,,975b5a6e-7b5b-4988-8563-49921d11f686,1/12/2021 16:43,keleigh.reynolds@dec.ny.gov_nysdec,3/23/2021 16:42,keleigh.reynolds@dec.ny.gov_nysdec
79,306089bd-733c-4fbb-8222-95a21dca85f9,Diptera: Chironomidae,,(Diptera: Chironomidae) ,,Needs midge ID-3/23 not chiron KAR,975b5a6e-7b5b-4988-8563-49921d11f686,1/12/2021 16:43,keleigh.reynolds@dec.ny.gov_nysdec,3/23/2021 16:42,keleigh.reynolds@dec.ny.gov_nysdec
80,a02336bb-5615-4e07-8d04-b6f69a761282,Diptera,Tipulidae,(Diptera) Tipulidae,,,b06a4e8b-a773-4665-8849-783ef583b0b5,1/12/2021 18:03,keleigh.reynolds@dec.ny.gov_nysdec,1/12/2021 18:03,keleigh.reynolds@dec.ny.gov_nysdec
81,e8e5e5ff-0b80-4cf2-8056-3a86553d49fd,Coleoptera,Elmidae,(Coleoptera) Elmidae,,,b06a4e8b-a773-4665-8849-783ef583b0b5,1/12/2021 18:03,keleigh.reynolds@dec.ny.gov_nysdec,1/12/2021 18:03,keleigh.reynolds@dec.ny.gov_nysdec
82,d0a69e4b-de13-48b7-8dcd-c686dcbd869e,Coleoptera,Elmidae,(Coleoptera) Elmidae,,,b06a4e8b-a773-4665-8849-783ef583b0b5,1/12/2021 18:03,keleigh.reynolds@dec.ny.gov_nysdec,1/12/2021 18:03,keleigh.reynolds@dec.ny.gov_nysdec
83,72b24bc7-76c7-41b1-8e76-b4948e3e836d,Coleoptera,Psephenidae,(Coleoptera) Psephenidae,,,b06a4e8b-a773-4665-8849-783ef583b0b5,1/12/2021 18:03,keleigh.reynolds@dec.ny.gov_nysdec,1/12/2021 18:03,keleigh.reynolds@dec.ny.gov_nysdec
84,bd1aaefa-16f2-484b-8709-e11926f13a2e,Coleoptera,Psephenidae,(Coleoptera) Psephenidae,,,b06a4e8b-a773-4665-8849-783ef583b0b5,1/12/2021 18:03,keleigh.reynolds@dec.ny.gov_nysdec,1/12/2021 18:03,keleigh.reynolds@dec.ny.gov_nysdec
85,ea7ed5d7-1524-47b3-8bde-9e09b05d3ebd,Coleoptera,Psephenidae,(Coleoptera) Psephenidae,,,b06a4e8b-a773-4665-8849-783ef583b0b5,1/12/2021 18:03,keleigh.reynolds@dec.ny.gov_nysdec,1/12/2021 18:03,keleigh.reynolds@dec.ny.gov_nysdec
86,fe34976b-c025-491c-801a-aa5cdaae4415,OTHER,,(OTHER) ,"Adult bug, not ID'd",,b06a4e8b-a773-4665-8849-783ef583b0b5,1/12/2021 18:03,keleigh.reynolds@dec.ny.gov_nysdec,1/12/2021 18:03,keleigh.reynolds@dec.ny.gov_nysdec
87,8cd1ee8c-ac3f-47f4-83ec-790652f32cba,Trichoptera,Polycentropodidae,(Trichoptera) Polycentropodidae,,"membraneous mesonotum, no gills, single leg hook",b06a4e8b-a773-4665-8849-783ef583b0b5,1/12/2021 18:03,keleigh.reynolds@dec.ny.gov_nysdec,1/12/2021 18:03,keleigh.reynolds@dec.ny.gov_nysdec
88,912d94c0-4051-4b07-80af-3903278cea6e,Trichoptera,Philopotamidae,(Trichoptera) Philopotamidae,,distinct black ring around pronotum,b06a4e8b-a773-4665-8849-783ef583b0b5,1/12/2021 18:03,keleigh.reynolds@dec.ny.gov_nysdec,1/12/2021 18:03,keleigh.reynolds@dec.ny.gov_nysdec
