"stationID","Lat","Lon","Stream Name","Assessment","Individual Sample Results"
"-73.543_42.869",-73.543,42.869,"Otter Creek","No Conclusion","08/10/2021:No Conclusion"
"-73.562_41.02",-73.562,41.02,"Minor Tribs Upper Sparkill Creek","No Conclusion","07/30/2020:No Conclusion"
"-73.578_42.698",-73.578,42.698,"Poestenkill","No Known Impact","08/07/2021:No Known Impact"
"-73.597_43.521",-73.597,43.521,"Shelving Rock Brook","No Known Impact","07/29/2021:No Known Impact"
"-73.597_43.552",-73.597,43.552,"Shelving Rock Brook","No Conclusion","09/27/2020:No Conclusion"
"-73.607_43.625",-73.607,43.625,"North West Bay Brook","No Known Impact","08/06/2020:No Known Impact"
"-73.607_43.626",-73.607,43.626,"Northwest Bay Brook","No Known Impact","07/01/2021:No Known Impact"
"-73.619_42.876",-73.619,42.876,"Check","No Conclusion","09/19/2021:No Conclusion"
"-73.622_43.616",-73.622,43.616,"Pole Hill Brook","No Known Impact","08/10/2021:No Known Impact"
"-73.623_43.509",-73.623,43.509,"Butternut Brook","No Known Impact","08/25/2021:No Conclusion
09/08/2020:No Known Impact"
"-73.625_42.739",-73.625,42.739,"Sweet Milk Creek","No Conclusion","08/28/2020:No Conclusion"
"-73.635_43.601",-73.635,43.601,"Pole Hill Pond Trail Brook","No Conclusion","08/06/2020:No Conclusion"
"-73.638_42.613",-73.638,42.613,"N. Br. Moordener Kill","No Conclusion","09/04/2020:No Conclusion"
"-73.653_43.653",-73.653,43.653,"Finkle Brook","No Conclusion","07/09/2021:No Conclusion"
"-73.657_42.723",-73.657,42.723,"Poestenkill Bends","No Conclusion","07/02/2020:No Conclusion"
"-73.675_43.519",-73.675,43.519,"Cotton Brook","No Conclusion","08/06/2020:No Conclusion"
"-73.677_42.556",-73.677,42.556,"N. Br. Moordener Kill","No Conclusion","09/04/2020:No Conclusion"
"-73.68_43.575",-73.68,43.575,"Finkle Brook","No Known Impact","09/08/2020:No Known Impact
07/01/2021:No Known Impact"
"-73.682_43.49",-73.682,43.49,"Edmunds Brook","No Known Impact","07/01/2021:No Known Impact
07/29/2020:No Conclusion"
"-73.699_42.675",-73.699,42.675,"Vlockie? Check This","No Conclusion","08/07/2020:No Conclusion"
"-73.7_43.409",-73.7,43.409,"East Brook","No Conclusion","08/28/2020:No Conclusion"
"-73.701_43.409",-73.701,43.409,"East Brook","No Conclusion","07/22/2021:No Conclusion"
"-73.707_42.517",-73.707,42.517,"Vlockie Kill","No Conclusion","09/26/2021:No Conclusion"
"-73.712_43.418",-73.712,43.418,"West Brook (Lg Village)","No Known Impact","08/03/2021:No Known Impact"
"-73.717_43.416",-73.717,43.416,"West Brook","No Conclusion","09/04/2020:No Conclusion
08/31/2021:No Conclusion"
"-73.718_43.436",-73.718,43.436,"English Brook","No Conclusion","07/29/2021:No Conclusion
08/25/2020:No Conclusion"
"-73.725_43.017",-73.725,43.017,"Mill Branch","No Conclusion","09/28/2021:No Conclusion"
"-73.727_43.439",-73.727,43.439,"Big Hollow Brook","No Known Impact","08/25/2020:No Conclusion
07/01/2021:No Known Impact"
"-73.728_43.399",-73.728,43.399,"Gage Brook","No Known Impact","07/27/2020:No Known Impact"
"-73.728_43.4",-73.728,43.4,"Gage Brook","No Conclusion","07/13/2021:No Conclusion"
"-73.731_42.999",-73.731,42.999,"Minor Tribs To Saratoga Lake","No Known Impact","09/27/2021:No Known Impact"
"-73.732_42.537",-73.732,42.537,"Moordener Kill","No Conclusion","08/23/2020:No Conclusion"
"-73.734_43.402",-73.734,43.402,"West Book","No Known Impact","07/13/2021:No Known Impact"
"-73.736_43.402",-73.736,43.402,"West Brook (Lg Rec Center)","No Known Impact","07/24/2020:No Known Impact"
"-73.751_41.612",-73.751,41.612,"Unnamed Stream Near Sylvan Lake","No Conclusion","09/14/2020:No Conclusion"
"-73.754_42.525",-73.754,42.525,"Vlockie Kill","No Conclusion","08/23/2020:No Conclusion"
"-73.801_42.636",-73.801,42.636,"Normanskill Creek Trib","No Conclusion","09/24/2021:No Conclusion"
"-73.846_41.021",-73.846,41.021,"Saw Mill River","No Conclusion","07/27/2021:No Conclusion"
"-73.878_43.138",-73.878,43.138,"Kayaderosseras Bockes Rd","No Known Impact","09/30/2021:No Known Impact"
"-73.901_44.786",-73.901,44.786,"Ouleout Creek","No Conclusion","07/26/2020:No Conclusion"
"-73.902_44.787",-73.902,44.787,"Unnamed Trib","No Conclusion","08/28/2020:No Conclusion"
"-73.914_44.738",-73.914,44.738,"Unnamed Trib","No Conclusion","08/28/2020:No Conclusion"
"-73.928_43.075",-73.928,43.075,"Kayaderoserras Creek","No Known Impact","09/11/2021:No Known Impact"
"-73.943_41.059",-73.943,41.059,"Minor Tribs To Upper Sparkill Creek","No Conclusion","07/11/2020:No Conclusion"
"-73.968_41.724",-73.968,41.724,"Twaalfskill Creek","No Conclusion","09/04/2021:No Conclusion"
"-73.97_41.203",-73.97,41.203,"Minisceongo Creek","No Conclusion","09/20/2021:No Conclusion"
"-73.98_42.021",-73.98,42.021,"Lower Esopus","No Conclusion","09/22/2021:No Conclusion"
"-73.989_41.207",-73.989,41.207,"Minisceongo Creek","No Conclusion","08/03/2020:No Conclusion"
"-73.989_41.208",-73.989,41.208,"Minisceongo Creek","No Conclusion","08/10/2020:No Conclusion"
"-73.994_41.146",-73.994,41.146,"Demarest Kill","No Conclusion","08/31/2021:No Conclusion"
"-74.009_41.133",-74.009,41.133,"Link Stream","No Conclusion","08/01/2021:No Conclusion"
"-74.027_41.2",-74.027,41.2,"Minisceongo Creek","No Conclusion","08/17/2020:No Conclusion"
"-74.039_41.198",-74.039,41.198,"Minesceongo Creek","No Conclusion","07/20/2021:No Conclusion"
"-74.042_41.54",-74.042,41.54,"Gidneytown Creek","No Conclusion","09/13/2021:No Conclusion"
"-74.061_41.939",-74.061,41.939,"Hurley Mtn Rd Waterfall, Lower Esopus Tributary","No Conclusion","09/27/2021:No Conclusion"
"-74.086_41.483",-74.086,41.483,"Silver Stream","No Conclusion","09/20/2021:No Conclusion"
"-74.091_42.192",-74.091,42.192,"Kaaterskill Creek","No Known Impact","09/26/2021:No Known Impact"
"-74.097_42.198",-74.097,42.198,"Tributary To The Kaaterskill Creek","No Known Impact","08/21/2021:No Known Impact"
"-74.114_41.146",-74.114,41.146,"Mahwah River","No Conclusion","07/19/2021:No Conclusion"
"-74.114_41.851",-74.114,41.851,"Cottekill Brook","No Conclusion","07/26/2021:No Conclusion"
"-74.118_41.884",-74.118,41.884,"Lower Esopus Fording Place","No Conclusion","09/27/2021:No Conclusion"
"-74.125_41.506",-74.125,41.506,"Stream Off Of Cnty Rte 2; Kripplebush ","No Conclusion","09/24/2021:No Conclusion"
"-74.144_41.885",-74.144,41.885,"Lower Esopus","No Conclusion","07/23/2021:No Conclusion"
"-74.163_41.135",-74.163,41.135,"Ramapo River; Flat Rock Park","No Conclusion","08/02/2021:No Conclusion"
"-74.189_42.186",-74.189,42.186,"Stony Clove Creek- East","No Known Impact","08/31/2020:No Known Impact"
"-74.208_42.158",-74.208,42.158,"Stony Clove Creek West","No Known Impact","09/04/2020:No Known Impact"
"-74.208_42.205",-74.208,42.205,"Shanty Hollow Brook","No Conclusion","09/01/2020:No Conclusion"
"-74.237_44.382",-74.237,44.382,"Trib To Lake Clear","No Conclusion","09/26/2021:No Conclusion"
"-74.334_42.74",-74.334,42.74,"Cripple Bush Creek","No Conclusion","09/24/2021:No Conclusion"
"-74.341_41.402",-74.341,41.402,"Rio Grande","No Conclusion","09/05/2018:No Conclusion"
"-74.387_41.465",-74.387,41.465,"Masonic Creek","No Conclusion","09/05/2018:No Conclusion"
"-74.544_41.341",-74.544,41.341,"Rutgers Creek","No Known Impact","09/05/2018:No Known Impact"
"-74_41.169",-74,41.169,"Crum Creek","No Conclusion","08/09/2021:No Conclusion"
"-75.393_42.512",-75.393,42.512,"Great Brook","No Conclusion","08/31/2020:No Conclusion"
"-75.45_42.692",-75.45,42.692,"Mad Brook","No Conclusion","08/31/2020:No Conclusion"
"-75.526_42.231",-75.526,42.231,"Kelsey Brook","No Conclusion","08/28/2020:No Conclusion"
"-75.53_42.497",-75.53,42.497,"Guthrie Brook","No Conclusion","08/28/2020:No Conclusion"
"-75.759_43.518",-75.759,43.518,"Prince Brook","No Known Impact","07/23/2020:No Known Impact"
"-75.889_42.285",-75.889,42.285,"Ticknor Halfway Creek","No Known Impact","08/17/2021:No Known Impact"
"-75.892_43.437",-75.892,43.437,"W. Branch Fish Creek","No Known Impact","07/11/2021:No Known Impact"
"-75.894_42.14",-75.894,42.14,"Phelps Creek","No Conclusion","08/30/2021:No Conclusion"
"-75.922_43.468",-75.922,43.468,"West Branch Fish Creek","No Conclusion","08/23/2030:No Conclusion"
"-76.216_43.017",-76.216,43.017,"Harbor Brook","No Conclusion","09/26/2021:No Conclusion"
"-76.513_42.404",-76.513,42.404,"Buttermilk Creek","No Conclusion","09/13/2021:No Conclusion"
"-76.639_42.613",-76.639,42.613,"N. Branch Moordener Kill","No Known Impact","09/06/2021:No Known Impact"
"-76.677_42.556",-76.677,42.556,"N. Branch Moordiner Kill","No Conclusion","09/06/2021:No Conclusion"
"-76.701_42.807",-76.701,42.807,"Great Gully Creek","No Conclusion","08/27/2021:No Conclusion"
"-76.703_42.087",-76.703,42.087,"Great Gully Creek","No Conclusion","09/30/2020:No Conclusion"
"-76.83_42.335",-76.83,42.335,"Mitchell Hollow Creek","No Conclusion","08/13/2020:No Conclusion"
"-76.885_42.328",-76.885,42.328,"Shequaga Creek","No Conclusion","08/13/2020:No Conclusion"
"-76.979_42.52",-76.979,42.52,"Big Stream","No Conclusion","09/01/2021:No Conclusion"
"-78.043_42.848",-78.043,42.848,"Pearl Creek","No Conclusion","07/30/2021:No Conclusion"
"-78.097_42.535",-78.097,42.535,"East Koy Creek","No Known Impact","08/24/2021:No Known Impact"
"-78.136_42.741",-78.136,42.741,"Oatka Creek","No Conclusion","08/27/2021:No Conclusion"
"-78.138_42.639",-78.138,42.639,"East Koy Creek","No Known Impact","08/24/2021:No Known Impact"
"-78.158_42.56",-78.158,42.56,"Wiscoy Creek","No Known Impact","08/16/2021:No Known Impact"
"-78.168_42.816",-78.168,42.816,"Little Tonawanda Creek","No Known Impact","07/30/2021:No Known Impact"
"-78.172_42.572",-78.172,42.572,"Trout Brook","No Conclusion","08/25/2021:No Conclusion"
"-78.199_42.916",-78.199,42.916,"Little Tonawanda @ Gillholly Rd","No Known Impact","09/10/2020:No Known Impact"
"-78.235_42.929",-78.235,42.929,"Tonawanda Creek","Possibly Impaired","09/15/2020:Possibly Impaired"
"-78.254_42.579",-78.254,42.579,"Wiscoy Creek","No Known Impact","07/28/2021:No Known Impact"
"-78.258_42.61",-78.258,42.61,"North Branch Of Wiscoy Creek","No Conclusion","08/17/2021:No Conclusion"
"-78.258_42.876",-78.258,42.876,"Tonawanda Creek","No Known Impact","09/10/2020:No Known Impact"
"-78.26_43.004",-78.26,43.004,"Tonawanda Creek @ Stegman Rd.","No Conclusion","09/16/2020:No Conclusion"
"-78.288_42.937",-78.288,42.937,"Bowen Creek @ Dodgeson Road","No Conclusion","09/15/2020:No Conclusion"
"-78.295_42.921",-78.295,42.921,"Bowen Creek; Walker Road","Possibly Impaired","09/10/2020:Possibly Impaired"
"-78.343_42.563",-78.343,42.563,"Spring Brook","No Known Impact","08/30/2021:No Known Impact"
"-78.351_43.022",-78.351,43.022,"Tonawanda Creek @ Airville Rd","No Conclusion","09/16/2020:No Conclusion"
"-78.378_42.56",-78.378,42.56,"Cattaraugus Creek","No Known Impact","09/01/2021:No Known Impact"
"-78.423_42.535",-78.423,42.535,"Clear Creek","No Known Impact","09/08/2021:No Known Impact"
"-78.424_42.923",-78.424,42.923,"Ellicott Creek","No Conclusion","08/05/2021:No Conclusion"
"-78.464_42.925",-78.464,42.925,"Ellicott Creek","No Conclusion","08/05/2021:No Conclusion"
"0_0",0,0,"Cattaraugus Creek-No Lat/Long, Check .Csv Sent By Emelyn Bell","No Known Impact","09/08/2021:No Known Impact"
"40.661_-73.604",40.661,-73.604,"Milburn Creek","No Conclusion","9/13/2019: No Conclusion
9/29/2018: No Conclusion"
"40.664_-73.654",40.664,-73.654,"Mill River","No Conclusion","7/26/2017:No Conclusion"
"40.669_-73.483",40.669,-73.483,"Takapausha Preserve","No Conclusion","9/9/2017:No Conclusion"
"40.691_-73.358",40.691,-73.358,"Santapogue creek","No Conclusion","7/1/2017:No Conclusion"
"40.703_-73.328",40.703,-73.328,"Carll's River","No Conclusion","9/17/2017:No Conclusion"
"40.714_-73.328",40.714,-73.328,"Carll's River","No Conclusion","9/17/2017:No Conclusion"
"40.716_-73.329",40.716,-73.329,"Carll's River","No Conclusion","9/17/2017:No Conclusion"
"40.732_-73.251",40.732,-73.251,"Penataquit Creek west branch","Possibly Impaired","8/4/2017:Possibly Impaired"
"40.755_-73.745",40.755,-73.745,"Alley Creek - East Branch","No Conclusion","7/28/2017:No Conclusion"
"40.757_-73.746",40.757,-73.746,"Alley Creek","No Conclusion","7/28/2017:No Conclusion"
"40.773_-73.033",40.773,-73.033,"Tuthill's Creek","No Conclusion","9/29/2017:No Conclusion"
"40.85_-73.224",40.85,-73.224,"Nissequogue River","Possibly Impaired","9/17/2017:Possibly Impaired"
"40.885_-73.617",40.885,-73.617,"Island Swamp Brook","No Conclusion","9/2/2017:No Conclusion"
"40.905_-73.814",40.905,-73.814,"Hutchinson River","No Conclusion","07/30/2022:No Conclusion"
"40.906_-73.814",40.906,-73.814,"Hutchinson River","No Conclusion","07/30/2022:No Conclusion"
"40.908_-73.884",40.908,-73.884,"Tibbetts Brook","Possibly Impaired","8/5/2016:Possibly Impaired"
"40.908_-73.89",40.908,-73.89,"Tibbetts Brook","No Conclusion","8/5/2016:No Conclusion"
"40.914_-73.884",40.914,-73.884,"Tibbetts Brook","Possibly Impaired","8/5/2016:Possibly Impaired"
"40.951_-73.798",40.951,-73.798,"Hutchinson Creek","No Conclusion","09/18/2022:No Conclusion"
"40.99_-73.863",40.99,-73.863,"Saw Mill River","No Conclusion","9/29/2018:No Conclusion
9/25/2016:No Conclusion
9/30/2017:No Conclusion
8/18/2019:No Conclusion"
"41.019_-73.846",41.019,-73.846,"Saw Mill River","No Conclusion","9/29/2018:No Conclusion
9/25/2016:No Conclusion
9/30/2017:No Conclusion
8/18/2019:No Conclusion"
"41.019_-73.947",41.019,-73.947,"Sparkill Creek","No Conclusion","7/12/2019:No Conclusion"
"41.019_-74.082",41.019,-74.082,"Saddle River","No Conclusion","7/10/2017:No Conclusion"
"41.02_-73.947",41.02,-73.947,"Sparkill Creek","No Conclusion","7/16/2018:No Conclusion"
"41.021_-73.947",41.021,-73.947,"Sparkill","No Conclusion","7/28/2017:No Conclusion"
"41.029_-73.925",41.029,-73.925,"Sparkill Creek","Possibly Impaired","08/28/2014:Possibly Impaired"
"41.029_-73.926",41.029,-73.926,"Sparkill Creek","Possibly Impaired","8/4/2016:Possibly Impaired"
"41.03_-73.925",41.03,-73.925,"Below Valentine at Skating Pond, Sparkill Creek","No Conclusion","8/3/2016:No Conclusion"
"41.036_-73.907",41.036,-73.907,"Hudson River","No Conclusion","7/18/2018:No Conclusion"
"41.036_-73.909",41.036,-73.909,"Sparkill Stream","No Conclusion","7/24/2018:No Conclusion"
"41.045_-73.945",41.045,-73.945,"Sparkill Creek","No Conclusion","8/10/2016:No Conclusion
7/11/2017:No Conclusion"
"41.052_-73.945",41.052,-73.945,"Sparkill Creek","Possibly Impaired","7/11/2017:Possibly Impaired"
"41.052_-73.946",41.052,-73.946,"Sparkill Creek","No Conclusion","07/22/2015:No Conclusion"
"41.059_-73.992",41.059,-73.992,"Naurashaun Brook","No Conclusion","7/9/2018:No Conclusion
8/4/2016:No Conclusion
7/29/2019:No Conclusion"
"41.059_-73.993",41.059,-73.993,"Naurashaun Brook","No Conclusion","7/10/2017:No Conclusion"
"41.06_-74.024",41.06,-74.024,"Muddy Brook","Possibly Impaired","07/22/2015:No Conclusion
8/8/2016:Possibly Impaired"
"41.062_-73.946",41.062,-73.946,"North Branch at Greenbush road, Sparkill","No Conclusion","8/3/2016:No Conclusion"
"41.066_-74.039",41.066,-74.039,"Pascack","No Conclusion","7/26/2017:No Conclusion"
"41.068_-74.026",41.068,-74.026,"Muddy Creek","No Conclusion","7/26/2017:No Conclusion
7/9/2018:No Conclusion
7/8/2019:No Conclusion"
"41.068_-74.04",41.068,-74.04,"Pascack Brook","No Conclusion","8/7/2018:No Conclusion
7/8/2019:No Conclusion"
"41.069_-73.938",41.069,-73.938,"North Branch, Sparkill","No Known Impact","8/3/2016:No Known Impact
7/18/2017:No Conclusion"
"41.083_-74.082",41.083,-74.082,"Saddle River","Possibly Impaired","8/8/2016:No Conclusion
07/22/2015:Possibly Impaired"
"41.086_-73.963",41.086,-73.963,"Hackensack River","Possibly Impaired","8/4/2016:Possibly Impaired"
"41.087_-74.08",41.087,-74.08,"Saddle River","No Conclusion","7/29/2019:No Conclusion"
"41.088_-73.918",41.088,-73.918,"Nyack Brook","No Conclusion","08/14/2022:No Conclusion"
"41.091_-74.083",41.091,-74.083,"Saddle River","No Conclusion","08/01/2022:No Conclusion"
"41.092_-74.083",41.092,-74.083,"Saddle River","No Conclusion","8/6/2018:No Conclusion"
"41.114_-74.22",41.114,-74.22,"Minisceongo","No Conclusion","7/11/2016:No Conclusion"
"41.118_-73.945",41.118,-73.945,"Tributary to Lake Deforest (East Branch Hackensack)","No Conclusion","7/29/2019:No Conclusion
7/30/2018:No Conclusion
7/3/2017:No Conclusion"
"41.118_-74.044",41.118,-74.044,"Pascack Brook and tribs, within NYS","Possibly Impaired","7/25/2016:No Conclusion
07/29/2015:Possibly Impaired"
"41.121_-73.833",41.121,-73.833,"Pocantico River","No Conclusion","09/18/2012:No Conclusion"
"41.121_-73.867",41.121,-73.867,"Minor Tribs to East of Hudson","No Conclusion","08/23/2012:No Conclusion"
"41.126_-73.448",41.126,-73.448,"East Branch Hackensack*/ Congers Lake Branch","No Conclusion","8/10/2017:No Conclusion"
"41.132_-73.819",41.132,-73.819,"Pocantico River","Possibly Impaired","09/15/2012:Possibly Impaired
07/08/2012:Possibly Impaired"
"41.133_-74.008",41.133,-74.008,"Link Stream","No Conclusion","07/26/2022:No Conclusion"
"41.134_-73.59",41.134,-73.59,"Cedar Pond Brooke","No Conclusion","7/11/2016:No Conclusion"
"41.134_-73.943",41.134,-73.943,"East Branch Hackensack*/ Congers Lake Branch","Possibly Impaired","7/3/2017:Possibly Impaired
7/30/2018:Possibly Impaired
7/29/2019:No Conclusion
07/26/2022:No Conclusion"
"41.135_-74.163",41.135,-74.163,"Ramapo River","No Conclusion","9/19/2018:No Conclusion
7/24/2016:No Conclusion
8/17/2017:No Conclusion"
"41.135_-74.164",41.135,-74.164,"Ramapo River","No Conclusion","7/15/2019:No Conclusion"
"41.144_-74.115",41.144,-74.115,"Mahwah River","No Conclusion","8/8/2017:No Conclusion
7/9/2018:No Conclusion"
"41.145_-73.996",41.145,-73.996,"Demarest Kill","No Conclusion","7/18/2018:No Conclusion"
"41.145_-74.115",41.145,-74.115,"Mahwah River","No Conclusion","8/11/2016:No Conclusion"
"41.146_-71.114",41.146,-71.114,"Mahwah River","No Conclusion","9/9/2019:No Conclusion"
"41.146_-73.861",41.146,-73.861,"Sparta Brook","Possibly Impaired","07/11/2014:Possibly Impaired"
"41.146_-73.994",41.146,-73.994,"Dearest Kill","No Conclusion","8/8/2019:No Conclusion
08/26/2022:No Conclusion"
"41.146_-73.996",41.146,-73.996,"Demarst Kill","No Conclusion","8/28/2017:No Conclusion"
"41.146_-74.114",41.146,-74.114,"Mahwah River","No Conclusion","7/7/2016:No Conclusion
09/16/2022:No Conclusion"
"41.147_-73.998",41.147,-73.998,"West Br.Hackensack, Upper, and tribs","Possibly Impaired","07/08/2015:No Conclusion
7/16/2016:Possibly Impaired"
"41.147_-74.112",41.147,-74.112,"Mahwah River","No Known Impact","07/01/2015:No Known Impact"
"41.15_-74.096",41.15,-74.096,"Willow Treebrook","Possibly Impaired","7/7/2016:No Conclusion
07/15/2015:Possibly Impaired"
"41.151_-74.197",41.151,-74.197,"Ramapo River, Lower, and minor tribs","No Conclusion","08/08/2013:No Conclusion"
"41.155_-74.196",41.155,-74.196,"Nakoma Brook","No Known Impact","7/26/2017:No Conclusion
7/15/2019:No Known Impact
7/18/2016:No Known Impact
07/15/2015:No Known Impact"
"41.158_-73.967",41.158,-73.967,"West Hackensack River","No Conclusion","9/21/2017:No Conclusion"
"41.162_-74.008",41.162,-74.008,"Crum Creek","No Conclusion","7/17/2017:No Conclusion"
"41.162_-74.188",41.162,-74.188,"Stony Brook","No Known Impact","07/15/2015:No Known Impact"
"41.162_-74.189",41.162,-74.189,"Ramapo River","Possibly Impaired","7/18/2016:No Conclusion
08/08/2013:Possibly Impaired"
"41.163_-74.005",41.163,-74.005,"Crum Creek","No Conclusion","8/8/2016:No Conclusion"
"41.163_-74.009",41.163,-74.009,"Crum Creek","No Conclusion","8/8/2016:No Conclusion"
"41.164_-73.862",41.164,-73.862,"Sing Sing Creek and tribs","No Conclusion","07/09/2014:No Conclusion"
"41.164_-74.006",41.164,-74.006,"Crum Creek","No Conclusion","7/17/2017:No Conclusion
7/25/2016:No Conclusion"
"41.165_-74.008",41.165,-74.008,"Crum Creek","Possibly Impaired","7/17/2017:Possibly Impaired"
"41.173_-74",41.173,-74,"West Br.Hackensack, Upper, and tribs","No Conclusion","08/05/2015:No Conclusion
7/25/2016:No Conclusion"
"41.175_-74",41.175,-74,"Crum creek","No Conclusion","7/1/2019:No Conclusion"
"41.175_-74.001",41.175,-74.001,"Crum Creek","No Conclusion","7/22/2018:No Conclusion"
"41.184_-74.013",41.184,-74.013,"West Br.Hackensack, Upper, and tribs","No Conclusion","07/29/2015:No Conclusion"
"41.185_-73.869",41.185,-73.869,"Minor Tribs to Lower Croton River","No Conclusion","07/09/2014:No Conclusion"
"41.186_-74.012",41.186,-74.012,"West Hackensack River","No Conclusion","8/11/2017:No Conclusion"
"41.191_-73.87",41.191,-73.87,"Indian Brook","No Conclusion","07/02/2014:No Conclusion"
"41.193_-74.042",41.193,-74.042,"South Branch Minisceongo Creek","Possibly Impaired","07/08/2015:Possibly Impaired"
"41.196_-74.039",41.196,-74.039,"South Branch Minicrengo Creek","No Conclusion","8/5/2019:No Conclusion
7/10/2017:No Conclusion
8/19/2018:No Conclusion"
"41.2_-74.027",41.2,-74.027,"Minisceongo Creek","No Conclusion","07/26/2022:No Conclusion"
"41.203_-73.969",41.203,-73.969,"minisceongo creek ","No Conclusion","7/26/2017:No Conclusion"
"41.203_-73.971",41.203,-73.971,"Minisceongo Creek","No Conclusion","7/25/2019:No Conclusion"
"41.203_-73.972",41.203,-73.972,"Minisceongo Creek","No Conclusion","8/23/2018:No Conclusion"
"41.204_-73.967",41.204,-73.967,"Minisceongo Creek","No Conclusion","08/05/2015:No Conclusion"
"41.204_-73.971",41.204,-73.971,"Minisceongo","No Conclusion","7/11/2016:No Conclusion"
"41.208_-73.726",41.208,-73.726,"Branch Brook","No Conclusion","7/20/2016:No Conclusion"
"41.223_-74.396",41.223,-74.396,"Wawayanda Creek, Lower, and tribs","No Known Impact","09/05/2012:No Known Impact"
"41.225_-73.985",41.225,-73.985,"Cedar Pond Brook","No Conclusion","8/25/2017:No Conclusion"
"41.227_-73.984",41.227,-73.984,"Cedar Pond Brook","No Conclusion","8/28/2019:No Conclusion"
"41.227_-73.985",41.227,-73.985,"Cedar Pond Brook","No Known Impact","07/08/2015:No Known Impact
8/31/2018:No Conclusion"
"41.25_-74.384",41.25,-74.384,"Wawayanda Creek","No Conclusion","09/27/2012:No Conclusion"
"41.252_-73.333",41.252,-73.333,"Salmon's Daily Run (Gage Rd Br)","No Conclusion","7/15/2017:No Conclusion"
"41.252_-74.056",41.252,-74.056,"Tiorati Brook","No Known Impact","8/4/2016:No Known Impact"
"41.257_-73.589",41.257,-73.589,"Upper Cross/Waccabuc River and tribs","No Conclusion","09/20/2012:No Conclusion"
"41.257_-74.002",41.257,-74.002,"Timp Brook","No Conclusion","7/26/2017:No Conclusion"
"41.259_-73.577",41.259,-73.577,"Cross River","No Known Impact","09/24/2012:No Known Impact
09/29/2014:No Conclusion"
"41.26_-73.602",41.26,-73.602,"Cross River","No Known Impact","09/27/2012:No Known Impact"
"41.262_-73.597",41.262,-73.597,"Cross River","No Conclusion","9/28/2017:No Conclusion"
"41.262_-73.844",41.262,-73.844,"Hunter Brook","No Conclusion","7/29/2016:No Conclusion"
"41.291_-73.373",41.291,-73.373,"Trinity Brook Lawlor Bldg","No Conclusion","7/15/2017:No Conclusion"
"41.294_-74.436",41.294,-74.436,"Quaker Creek and tribs","Possibly Impaired","09/25/2013:Possibly Impaired"
"41.3_-73.987",41.3,-73.987,"Doodletown Brook","No Conclusion","9/18/2017:No Conclusion"
"41.304_-73.365",41.304,-73.365,"Mill Stream","No Conclusion","7/15/2017:No Conclusion"
"41.315_-73.931",41.315,-73.931,"Annsville Creek","No Conclusion","09/17/2012:No Conclusion
08/07/2012:No Conclusion
09/25/2012:No Conclusion"
