"EVENT_ID","LOCATION","RIVMILE","BASIN","DATE","COLLECT","REPLICATE","PROJECT","FINAL_SCORE","RICHNESS","RICH_SCORE","HBI","HBI_SCORE","SHANNON","SHANNON_SCORE","PMA","PMA_SCORE","EPT_RICH","EPT_SCORE","NBI_P","NBI_P_SCORE","NCO_RICH","NCO_RICH_SCORE","PCT_DOM3","PCT_DOM3_SCORE"
"0.1_ADKS_32_8_8/11/2004_1","ADKS_32","0.1",8,"8/11/2004",1,1,"ADKS ACID SURVEY",5.3,15,3.97,4.76,7.18,NA,NA,40,3.47,5,4.72,5.13,7.18,NA,NA,NA,NA
"0.1_ADKS_33_8_8/11/2004_1","ADKS_33","0.1",8,"8/11/2004",1,1,"ADKS ACID SURVEY",6.98,21,5.88,2.37,9.63,NA,NA,48,4.76,7,5.91,3.8,8.7,NA,NA,NA,NA
"0.1_ADKS_40_8_7/31/2014_1","ADKS_40","0.1",8,"7/31/2014",1,1,"ADKS ACID SURVEY",5.09,16,4.26,2.94,9.06,NA,NA,39,3.31,6,5.45,6.65,3.37,NA,NA,NA,NA
"0.1_ADKS_40_8_8/10/2004_1","ADKS_40","0.1",8,"8/10/2004",1,1,"ADKS ACID SURVEY",6.35,18,4.85,1.51,10,NA,NA,33,2.24,7,5.91,3.75,8.75,NA,NA,NA,NA
"0.1_ADKS11_156_11_8/18/2011_1","ADKS11_156","0.1",11,"8/18/2011",1,1,"ADKS ACID SURVEY",8.19,36,10,3.65,8.35,NA,NA,52,5.48,12,8.5,3.9,8.6,NA,NA,NA,NA
"0.1_ADKS11_165_11_8/17/2011_1","ADKS11_165","0.1",11,"8/17/2011",1,1,"ADKS ACID SURVEY",7.3,18,4.85,4.22,7.78,NA,NA,61,6.94,11,8,3.58,8.92,NA,NA,NA,NA
"0.1_ADKS11_209_11_8/18/2011_1","ADKS11_209","0.1",11,"8/18/2011",1,1,"ADKS ACID SURVEY",8.51,25,7.06,3.13,8.87,NA,NA,65,7.6,15,10,3.49,9.01,NA,NA,NA,NA
"0.1_ADKS11_212_11_8/17/2011_1","ADKS11_212","0.1",11,"8/17/2011",1,1,"ADKS ACID SURVEY",7.99,30,8.61,4.43,7.57,NA,NA,67,7.79,13,9,5.21,6.97,NA,NA,NA,NA
"0.1_ADKS12_151_10_7/24/2012_1","ADKS12_151","0.1",10,"7/24/2012",1,1,"ADKS ACID SURVEY",7.62,26,7.35,4.09,7.91,NA,NA,59,6.61,11,8,4.28,8.22,NA,NA,NA,NA
"0.1_ADKS12_240_10_7/24/2012_1","ADKS12_240","0.1",10,"7/24/2012",6,1,"ADKS ACID SURVEY",9.88,26,10,3.71,10,NA,NA,NA,NA,9,9.5,NA,NA,15,10,NA,NA
"0.1_ALDC_7_7/12/2016_1","ALDC","0.1",7,"7/12/2016",1,1,"RIBS_Scr",9.24,34,9.72,3.5,8.5,NA,NA,87,9.71,22,10,4.24,8.26,NA,NA,NA,NA
"0.1_ALDC_7_7/25/2006_1","ALDC","0.1",7,"7/25/2006",1,1,"RIBS_Scr",8.13,31,8.89,4.4,7.6,NA,NA,71,8.17,13,9,5.2,7,NA,NA,NA,NA
"0.1_APAL_6_7/15/1992_1","APAL","0.1",6,"7/15/1992",1,1,"RIBS",5.61,18,4.85,5.5,6.25,NA,NA,56,6.13,7,5.91,6.03,4.92,NA,NA,NA,NA
"0.1_APAL_6_8/22/1991_1","APAL","0.1",6,"8/22/1991",1,1,"RIBS",0.21,5,0.38,9.91,0.15,NA,NA,23,0.52,0,0,10,0,NA,NA,NA,NA
"0.1_BABK_13_9/17/2007_1","BABK","0.1",13,"9/17/2007",1,1,"RIBS_Scr",5.31,25,7.06,6.98,4.4,NA,NA,44,4.11,9,6.82,6.33,4.17,NA,NA,NA,NA
"0.1_BACH_11_9/19/2001_1","BACH","0.1",11,"9/19/2001",1,1,"RIBS_Scr",8.58,30,8.61,3.54,8.46,NA,NA,79,8.94,15,10,5.25,6.88,NA,NA,NA,NA
"0.1_BALU_12_8/17/2005_1","BALU","0.1",12,"8/17/2005",1,1,"RIBS_Scr",0.82,8,1.54,8.46,2.55,NA,NA,15,0,0,0,8,0,NA,NA,NA,NA
"0.1_BALU_12_8/18/2015_1","BALU","0.1",12,"8/18/2015",1,1,"RIBS_Scr",0.16,6,0.77,9.98,0.03,NA,NA,9,0,0,0,8,0,NA,NA,NA,NA
"0.1_BALU_12_8/6/2001_1","BALU","0.1",12,"8/6/2001",1,1,"RIBS_Int",0.19,6,0.77,9.88,0.2,NA,NA,15,0,0,0,8.71,0,NA,NA,NA,NA
"0.1_BALU_12_9/20/2016_1","BALU","0.1",12,"9/20/2016",1,1,"RIBS_Int",0.67,7,1.15,9.7,0.5,NA,NA,30,1.72,0,0,9.25,0,NA,NA,NA,NA
"0.1_BATV_12_10/11/2011_1","BATV","0.1",12,"10/11/2011",1,1,"Special Study",5.89,11,2.79,4.47,7.53,NA,NA,67,7.79,7,5.91,5.82,5.45,NA,NA,NA,NA
"0.1_BATV_12_10/19/2014_1","BATV","0.1",12,"10/19/2014",1,1,"Special Study",7.27,23,6.47,3.88,8.12,NA,NA,54,5.81,17,10,5.61,5.97,NA,NA,NA,NA
"0.1_BATV_12_7/15/2008_1","BATV","0.1",12,"7/15/2008",1,1,"WSNC",8.54,33,9.44,4.31,7.69,NA,NA,66,7.69,18,10,4.61,7.89,NA,NA,NA,NA
"0.1_BATV_12_7/21/2014_1","BATV","0.1",12,"7/21/2014",1,1,"Special Study",6.73,16,4.26,4.33,7.67,NA,NA,65,7.6,10,7.27,5.26,6.85,NA,NA,NA,NA
"0.1_BATV_12_7/28/2010_1","BATV","0.1",12,"7/28/2010",1,1,"RIBS_Scr",7.02,26,7.35,4.3,7.7,NA,NA,69,7.98,11,8,6.38,4.05,NA,NA,NA,NA
"0.1_BATV_12_8/7/2001_1","BATV","0.1",12,"8/7/2001",1,1,"RIBS_Int",7.85,28,8.06,4.23,7.77,NA,NA,72,8.27,13,9,5.53,6.17,NA,NA,NA,NA
"0.1_BATV_12_8/9/2011_1","BATV","0.1",12,"8/9/2011",1,1,"Special Study",7.89,26,7.35,4.15,7.85,NA,NA,75,8.56,16,10,5.72,5.7,NA,NA,NA,NA
"0.1_BATV_T10_12_6/23/1989_1","BATV_T10","0.1",12,"6/23/1989",1,1,"RAS",8.85,30,8.61,2.77,9.23,NA,NA,77,8.75,15,10,4.82,7.68,NA,NA,NA,NA
"0.1_BDHW_13_8/17/2010_1","BDHW","0.1",13,"8/17/2010",1,1,"Special Study",8.56,31,8.89,3.29,8.71,NA,NA,71,8.17,19,10,5.19,7.02,NA,NA,NA,NA
"0.1_BDHW_13_8/17/2010_2","BDHW","0.1",13,"8/17/2010",1,2,"Special Study",8.54,33,9.44,3.48,8.52,NA,NA,72,8.27,18,10,5.41,6.47,NA,NA,NA,NA
"0.1_BDHW_13_8/17/2010_3","BDHW","0.1",13,"8/17/2010",1,3,"Special Study",7.95,32,9.17,3.87,8.13,NA,NA,63,7.26,18,10,5.92,5.2,NA,NA,NA,NA
"0.1_BDHW_13_8/17/2010_4","BDHW","0.1",13,"8/17/2010",1,4,"Special Study",8.96,33,9.44,2.98,9.02,NA,NA,77,8.75,19,10,4.89,7.61,NA,NA,NA,NA
"0.1_BDHW_13_8/25/2009_1","BDHW","0.1",13,"8/25/2009",1,1,"Special Study",7.77,24,6.76,3.54,8.46,NA,NA,70,8.08,16,10,5.79,5.53,NA,NA,NA,NA
"0.1_BDHW_13_8/25/2009_2","BDHW","0.1",13,"8/25/2009",1,2,"Special Study",7.25,21,5.88,3.34,8.66,NA,NA,60,6.77,13,9,5.63,5.93,NA,NA,NA,NA
"0.1_BDHW_13_8/25/2009_3","BDHW","0.1",13,"8/25/2009",1,3,"Special Study",7.74,21,5.88,3.19,8.81,NA,NA,71,8.17,15,10,5.67,5.83,NA,NA,NA,NA
"0.1_BDHW_13_8/25/2009_4","BDHW","0.1",13,"8/25/2009",1,4,"Special Study",7.33,21,5.88,3.51,8.49,NA,NA,70,8.08,13,9,5.91,5.22,NA,NA,NA,NA
"0.1_BEAD_8_9/26/2007_1","BEAD","0.1",8,"9/26/2007",1,1,"RIBS_Scr",6.13,15,3.97,3.64,8.36,NA,NA,45,4.27,8,6.36,4.8,7.7,NA,NA,NA,NA
"0.1_BEAM_1_9/14/2005_1","BEAM","0.1",1,"9/14/2005",1,1,"RIBS_Scr",7.83,31,8.89,3.85,8.15,NA,NA,58,6.45,13,9,5.33,6.67,NA,NA,NA,NA
"0.1_BEAV_14_9/20/2000_1","BEAV","0.1",14,"9/20/2000",1,1,"RIBS_Int",7.03,17,4.56,2.43,9.57,NA,NA,41,3.63,11,8,3.12,9.38,NA,NA,NA,NA
"0.1_BELL_11_10/1/1997_1","BELL","0.1",11,"10/1/1997",1,1,"RAS",6.81,27,7.78,4.54,7.45,NA,NA,57,6.29,8,6.36,5.53,6.17,NA,NA,NA,NA
"0.1_BELL_11_7/26/2007_1","BELL","0.1",11,"7/26/2007",1,1,"RAS",5.74,25,7.06,4.37,7.63,NA,NA,44,4.11,9,6.82,6.77,3.08,NA,NA,NA,NA
"0.1_BETT_14_9/30/1999_1","BETT","0.1",14,"9/30/1999",1,1,"RIBS_Scr",8.64,28,8.06,3.44,8.56,NA,NA,87,9.71,13,9,4.61,7.89,NA,NA,NA,NA
"0.1_BEVE_13_8/17/2010_1","BEVE","0.1",13,"8/17/2010",1,1,"Special Study",7.99,22,6.18,2.89,9.11,NA,NA,68,7.88,15,10,5.28,6.8,NA,NA,NA,NA
"0.1_BEVE_13_8/17/2010_2","BEVE","0.1",13,"8/17/2010",1,2,"Special Study",7.65,22,6.18,2.48,9.52,NA,NA,53,5.65,13,9,4.6,7.9,NA,NA,NA,NA
"0.1_BEVE_13_8/17/2010_3","BEVE","0.1",13,"8/17/2010",1,3,"Special Study",8.02,27,7.78,3.43,8.57,NA,NA,65,7.6,16,10,5.53,6.17,NA,NA,NA,NA
"0.1_BEVE_13_8/17/2010_4","BEVE","0.1",13,"8/17/2010",1,4,"Special Study",7.54,22,6.18,2.48,9.52,NA,NA,48,4.76,14,9.5,4.75,7.75,NA,NA,NA,NA
"0.1_BEVE_13_8/26/2009_1","BEVE","0.1",13,"8/26/2009",1,1,"Special Study",8.48,26,7.35,3.3,8.7,NA,NA,79,8.94,19,10,5.03,7.42,NA,NA,NA,NA
"0.1_BEVE_13_8/26/2009_2","BEVE","0.1",13,"8/26/2009",1,2,"Special Study",8.19,27,7.78,3.79,8.21,NA,NA,75,8.56,18,10,5.45,6.38,NA,NA,NA,NA
"0.1_BEVE_13_8/26/2009_3","BEVE","0.1",13,"8/26/2009",1,3,"Special Study",8.04,25,7.06,3.7,8.3,NA,NA,74,8.46,18,10,5.45,6.38,NA,NA,NA,NA
"0.1_BEVE_13_8/26/2009_4","BEVE","0.1",13,"8/26/2009",1,4,"Special Study",8.14,24,6.76,3.67,8.33,NA,NA,78,8.85,18,10,5.29,6.78,NA,NA,NA,NA
"0.1_BIGW_12_7/28/2010_1","BIGW","0.1",12,"7/28/2010",1,1,"RIBS_Scr",7.93,25,7.06,3.26,8.74,NA,NA,60,6.77,14,9.5,4.91,7.59,NA,NA,NA,NA
"0.1_BKTH_2_9/12/2006_1","BKTH","0.1",2,"9/12/2006",1,1,"RIBS_Scr",6.33,16,4.26,4.38,7.62,NA,NA,68,7.88,8,6.36,5.79,5.53,NA,NA,NA,NA
"0.1_BLAS_1_7/26/2011_1","BLAS","0.1",1,"7/26/2011",1,1,"Special Study",3.18,20,5.59,7.41,3.86,NA,NA,36,2.82,0,0,6.55,3.63,NA,NA,NA,NA
"0.1_BLBK_11_7/12/2006_1","BLBK","0.1",11,"7/12/2006",1,1,"RIBS_Scr",7.65,23,6.47,3.72,8.28,NA,NA,79,8.94,9,6.82,4.75,7.75,NA,NA,NA,NA
"0.1_BLCK_T8_8_8/27/2002_1","BLCK_T8","0.1",8,"8/27/2002",1,1,"RIBS_Scr",2.82,12,3.09,6.94,4.45,NA,NA,23,0.52,2,3.06,6.8,3,NA,NA,NA,NA
"0.1_BLDY_7_6/20/1989_1","BLDY","0.1",7,"6/20/1989",1,1,"RIBS",3.01,19,5.29,7.09,4.26,NA,NA,35,2.66,0,0,6.86,2.85,NA,NA,NA,NA
"0.1_BLDY_7_6/25/2008_1","BLDY","0.1",7,"6/25/2008",6,1,"Special Study",2.98,13,3.41,5.64,7.27,NA,NA,NA,NA,0,0,NA,NA,1,1.25,NA,NA
"0.1_BLDY_7_7/12/1995_1","BLDY","0.1",7,"7/12/1995",1,1,"RIBS_Scr",2.66,13,3.38,6.62,4.85,NA,NA,32,2.07,1,1.25,7.29,1.77,NA,NA,NA,NA
"0.1_BLDY_7_7/13/2016_1","BLDY","0.1",7,"7/13/2016",6,1,"RIBS_Scr",6.97,27,10,7.08,4.87,NA,NA,NA,NA,3,4.5,NA,NA,12,8.5,NA,NA
"0.1_BLDY_7_7/27/2006_1","BLDY","0.1",7,"7/27/2006",1,1,"RIBS_Scr",3.25,20,5.59,6.91,4.49,NA,NA,45,4.27,0,0,7.23,1.92,NA,NA,NA,NA
"0.1_BLDY_7_9/27/1994_1","BLDY","0.1",7,"9/27/1994",1,1,"RAS",2.65,16,4.26,7.47,3.79,NA,NA,37,2.98,0,0,7.12,2.2,NA,NA,NA,NA
"0.1_BLKE_1_9/12/2000_1","BLKE","0.1",1,"9/12/2000",1,1,"RIBS_Scr",2.95,13,3.38,6.45,5.06,NA,NA,29,1.55,3,3.61,7.55,1.13,NA,NA,NA,NA
"0.1_BOGR_9_7/15/2004_1","BOGR","0.1",9,"7/15/2004",1,1,"RIBS_Scr",5.77,25,7.06,5.09,6.76,NA,NA,42,3.79,11,8,6.7,3.25,NA,NA,NA,NA
"0.1_BOLT_11_7/3/2012_1","BOLT","0.1",11,"7/3/2012",1,1,"RIBS_Scr",4.3,18,4.85,5.17,6.66,NA,NA,37,2.98,5,4.72,7.09,2.28,NA,NA,NA,NA
"0.1_BONN_12_8/18/2005_1","BONN","0.1",12,"8/18/2005",1,1,"RIBS_Scr",6.45,29,8.33,5.23,6.59,NA,NA,58,6.45,9,6.82,6.38,4.05,NA,NA,NA,NA
"0.1_BRAH_12_9/14/1992_1","BRAH","0.1",12,"9/14/1992",1,1,"RIBS",6.16,20,5.59,5.08,6.78,NA,NA,56,6.13,9,6.82,5.8,5.5,NA,NA,NA,NA
"0.1_BROC_1_8/5/2015_1","BROC","0.1",1,"8/5/2015",1,1,"RIBS_Scr",7.32,29,8.33,4.34,7.66,NA,NA,66,7.69,13,9,6.43,3.93,NA,NA,NA,NA
"0.1_BUTM_7_7/25/2006_1","BUTM","0.1",7,"7/25/2006",1,1,"RIBS_Scr",5.97,24,6.76,5.27,6.54,NA,NA,59,6.61,7,5.91,6.39,4.03,NA,NA,NA,NA
"0.1_BUTT_1_9/13/2000_1","BUTT","0.1",1,"9/13/2000",1,1,"RIBS_Scr",8.3,22,6.18,2.79,9.21,NA,NA,65,7.6,12,8.5,2.73,10,NA,NA,NA,NA
"0.1_BVCK_12_8/17/2005_1","BVCK","0.1",12,"8/17/2005",1,1,"RIBS_Scr",6.97,25,7.06,4.12,7.88,NA,NA,50,5.16,14,9.5,5.9,5.25,NA,NA,NA,NA
"0.1_BVCK_12_8/18/2015_1","BVCK","0.1",12,"8/18/2015",1,1,"RIBS_Scr",8.2,30,8.61,3.62,8.38,NA,NA,64,7.42,17,10,5.36,6.6,NA,NA,NA,NA
"0.1_BVRD_13_7/25/2001_1","BVRD","0.1",13,"7/25/2001",1,1,"Special Study",4.37,15,3.97,5.47,6.29,NA,NA,45,4.27,6,5.45,7.25,1.88,NA,NA,NA,NA
"0.1_BVRD_13_7/30/2003_1","BVRD","0.1",13,"7/30/2003",1,1,"Special Study",5.55,19,5.29,3.42,8.58,NA,NA,44,4.11,5,4.72,5.98,5.05,NA,NA,NA,NA
"0.1_BVRD_13_7/6/2005_1","BVRD","0.1",13,"7/6/2005",1,1,"Special Study",5.57,21,5.88,4.92,6.97,NA,NA,48,4.76,10,7.27,6.82,2.95,NA,NA,NA,NA
"0.1_CADE_10_8/20/2003_1","CADE","0.1",10,"8/20/2003",1,1,"RIBS_Scr",7.47,28,8.06,4.59,7.39,NA,NA,58,6.45,14,9.5,5.63,5.93,NA,NA,NA,NA
"0.1_CADE_10_9/7/2004_1","CADE","0.1",10,"9/7/2004",1,1,"RIBS_Int",8.38,24,6.76,3.38,8.62,NA,NA,73,8.37,14,9.5,3.87,8.63,NA,NA,NA,NA
"0.1_CAJO_T22_12_7/3/1995_1","CAJO_T22","0.1",12,"7/3/1995",1,1,"RAS",6.74,21,5.88,3.34,8.66,NA,NA,68,7.88,9,6.82,6.21,4.47,NA,NA,NA,NA
"0.1_CAMD_11_7/14/2008_1","CAMD","0.1",11,"7/14/2008",1,1,"RIBS_Int",7.35,24,6.76,3.31,8.69,NA,NA,58,6.45,8,6.36,4,8.5,NA,NA,NA,NA
"0.1_CAMD_11_8/26/1999_1","CAMD","0.1",11,"8/26/1999",1,1,"RAS",7.9,26,7.35,3.21,8.79,NA,NA,52,5.48,16,10,4.6,7.9,NA,NA,NA,NA
"0.1_CATH_7_7/25/2006_1","CATH","0.1",7,"7/25/2006",1,1,"RIBS_Scr",6.31,24,6.76,5.23,6.59,NA,NA,81,9.13,6,5.45,6.55,3.63,NA,NA,NA,NA
"0.1_CATH_7_8/23/2001_1","CATH","0.1",7,"8/23/2001",1,1,"RIBS_Scr",7.13,23,6.47,4.93,6.96,NA,NA,74,8.46,12,8.5,5.89,5.28,NA,NA,NA,NA
"0.1_CATL_14_8/7/2014_1","CATL","0.1",14,"8/7/2014",1,1,"RIBS_Scr",6.64,14,3.68,4.46,7.54,NA,NA,65,7.6,10,7.27,5.16,7.1,NA,NA,NA,NA
"0.1_CAYA_12_7/15/1986_1","CAYA","0.1",12,"7/15/1986",1,1,"RAS",0.79,7,1.15,9.75,0.42,NA,NA,14,0,0,0,7.04,2.4,NA,NA,NA,NA
"0.1_CAYA_12_7/21/1992_1","CAYA","0.1",12,"7/21/1992",1,1,"RAS",6.58,16,4.26,4.61,7.36,NA,NA,76,8.65,4,4.17,4.06,8.44,NA,NA,NA,NA
"0.1_CAYA_12_7/24/1996_1","CAYA","0.1",12,"7/24/1996",1,1,"RAS",5.38,12,3.09,5.32,6.47,NA,NA,79,8.94,7,5.91,7,2.5,NA,NA,NA,NA
"0.1_CDOS_14_8/31/1994_1","CDOS","0.1",14,"8/31/1994",1,1,"RIBS",8.48,23,6.47,2.72,9.28,NA,NA,75,8.56,16,10,4.43,8.07,NA,NA,NA,NA
"0.1_CLBK_8_9/25/2007_1","CLBK","0.1",8,"9/25/2007",1,1,"RIBS_Scr",7.44,25,7.06,3.9,8.1,NA,NA,72,8.27,9,6.82,5.21,6.97,NA,NA,NA,NA
"0.1_CLDB_12_10/7/2015_1","CLDB","0.1",12,"10/7/2015",1,1,"RIBS_Scr",6.53,18,4.85,3.98,8.02,NA,NA,73,8.37,9,6.82,6.17,4.58,NA,NA,NA,NA
"0.1_CLEA_1_8/6/2015_1","CLEA","0.1",1,"8/6/2015",1,1,"RIBS_Scr",7.27,20,5.59,3.92,8.08,NA,NA,73,8.37,12,8.5,5.67,5.83,NA,NA,NA,NA
"0.1_CLEA_1_9/13/2005_1","CLEA","0.1",1,"9/13/2005",1,1,"RIBS_Scr",6.79,20,5.59,4.27,7.73,NA,NA,62,7.1,10,7.27,5.5,6.25,NA,NA,NA,NA
"0.1_COUL_14_8/25/2015_1","COUL","0.1",14,"8/25/2015",1,1,"RIBS_Int",7.49,28,8.06,3.83,8.17,NA,NA,54,5.81,18,10,5.84,5.4,NA,NA,NA,NA
"0.1_COUL_14_8/5/2014_1","COUL","0.1",14,"8/5/2014",1,1,"RIBS_Scr",9.24,34,9.72,2.93,9.07,NA,NA,85,9.52,23,10,4.61,7.89,NA,NA,NA,NA
"0.1_CUBA_2_8/28/2001_1","CUBA","0.1",2,"8/28/2001",1,1,"RIBS_Scr",6.24,26,7.35,4.98,6.9,NA,NA,62,7.1,6,5.45,6.24,4.4,NA,NA,NA,NA
"0.1_DARB_14_9/21/2000_1","DARB","0.1",14,"9/21/2000",1,1,"RIBS_Int",8.05,28,8.06,4.09,7.91,NA,NA,67,7.79,13,9,4.99,7.51,NA,NA,NA,NA
"0.1_DAVE_E_13_7/24/2002_1","DAVE_E","0.1",13,"7/24/2002",1,1,"Special Study",4.63,20,5.59,5.33,6.46,NA,NA,54,5.81,3,3.61,7.32,1.7,NA,NA,NA,NA
"0.1_DAVE_E_13_8/29/2002_1","DAVE_E","0.1",13,"8/29/2002",1,1,"Special Study",3.62,19,5.29,7.1,4.25,NA,NA,41,3.63,2,3.06,7.26,1.85,NA,NA,NA,NA
"0.1_DENS_3_8/12/1999_1","DENS","0.1",3,"8/12/1999",1,1,"RIBS_Scr",3.37,13,3.38,6.89,4.51,NA,NA,36,2.82,2,3.06,6.77,3.08,NA,NA,NA,NA
"0.1_DERR_T10_9_7/22/2014_1","DERR_T10","0.1",9,"7/22/2014",1,1,"RIBS_Scr",7.1,33,9.44,4.83,7.09,NA,NA,58,6.45,13,9,6.59,3.53,NA,NA,NA,NA
"0.1_DLET_10_7/22/2008_1","DLET","0.1",10,"7/22/2008",1,1,"RIBS_Scr",7.9,20,5.59,2.74,9.26,NA,NA,70,8.08,12,8.5,4.42,8.08,NA,NA,NA,NA
"0.1_DOUB_13_9/12/2007_1","DOUB","0.1",13,"9/12/2007",1,1,"RIBS_Scr",5.46,20,5.59,4.35,7.65,NA,NA,34,2.41,11,8,6.55,3.63,NA,NA,NA,NA
"0.1_DRAK_13_9/13/2007_1","DRAK","0.1",13,"9/13/2007",1,1,"RIBS_Scr",7.52,27,7.78,4.18,7.82,NA,NA,58,6.45,12,8.5,5.18,7.05,NA,NA,NA,NA
"0.1_DREC_1_9/13/2005_1","DREC","0.1",1,"9/13/2005",1,1,"RIBS_Scr",8.23,30,8.61,3.93,8.07,NA,NA,86,9.62,13,9,5.65,5.87,NA,NA,NA,NA
"0.1_EAST_12_8/1/2006_1","EAST","0.1",12,"8/1/2006",1,1,"RIBS_Int",8,23,6.47,3.81,8.19,NA,NA,68,7.88,15,10,5.01,7.48,NA,NA,NA,NA
"0.1_ELCK_2_9/12/2006_1","ELCK","0.1",2,"9/12/2006",1,1,"RIBS_Scr",3.69,17,4.56,6.09,5.51,NA,NA,30,1.72,3,3.61,6.78,3.05,NA,NA,NA,NA
"0.1_ELK_14_9/30/1999_1","ELK","0.1",14,"9/30/1999",1,1,"RIBS_Scr",6.33,18,4.85,3.85,8.15,NA,NA,69,7.98,7,5.91,6.1,4.75,NA,NA,NA,NA
"0.1_FALB_14_11/3/2010_1","FALB","0.1",14,"11/3/2010",1,1,"Climate Change",7.76,19,5.29,1.8,10,NA,NA,53,5.65,15,10,4.64,7.86,NA,NA,NA,NA
"0.1_FALB_14_11/3/2010_2","FALB","0.1",14,"11/3/2010",1,2,"Climate Change",7.81,23,6.47,1.3,10,NA,NA,46,4.44,21,10,4.37,8.13,NA,NA,NA,NA
"0.1_FALB_14_11/3/2010_3","FALB","0.1",14,"11/3/2010",1,3,"Climate Change",8.48,26,7.35,0.97,10,NA,NA,63,7.26,21,10,4.71,7.79,NA,NA,NA,NA
"0.1_FALB_14_11/3/2010_4","FALB","0.1",14,"11/3/2010",1,4,"Climate Change",8.79,27,7.78,1.21,10,NA,NA,63,7.26,24,10,3.58,8.92,NA,NA,NA,NA
"0.1_FALB_14_5/10/2011_1","FALB","0.1",14,"5/10/2011",1,1,"Climate Change",8.29,22,6.18,1.42,10,NA,NA,55,5.97,17,10,3.22,9.28,NA,NA,NA,NA
"0.1_FALB_14_5/10/2011_2","FALB","0.1",14,"5/10/2011",1,2,"Climate Change",8.17,21,5.88,0.92,10,NA,NA,59,6.61,18,10,4.14,8.36,NA,NA,NA,NA
"0.1_FALB_14_5/10/2011_3","FALB","0.1",14,"5/10/2011",1,3,"Climate Change",7.92,21,5.88,1.19,10,NA,NA,63,7.26,14,9.5,5.22,6.95,NA,NA,NA,NA
"0.1_FALB_14_5/10/2011_4","FALB","0.1",14,"5/10/2011",1,4,"Climate Change",8.41,23,6.47,1.17,10,NA,NA,70,8.08,18,10,5,7.5,NA,NA,NA,NA
"0.1_FALB_14_8/1/2011_1","FALB","0.1",14,"8/1/2011",1,1,"Climate Change",7.6,22,6.18,3.23,8.77,NA,NA,64,7.42,13,9,5.35,6.63,NA,NA,NA,NA
"0.1_FALB_14_8/1/2011_2","FALB","0.1",14,"8/1/2011",1,2,"Climate Change",8.52,26,7.35,3.24,8.76,NA,NA,75,8.56,17,10,4.55,7.95,NA,NA,NA,NA
"0.1_FALB_14_8/1/2011_3","FALB","0.1",14,"8/1/2011",1,3,"Climate Change",8.6,24,6.76,3.15,8.85,NA,NA,85,9.52,15,10,4.61,7.89,NA,NA,NA,NA
