"SITE_ID","LOCATION","RIVMILE","STATION","DESCRIPT","DIRECT","LATITUDE","LONGITUDE","COUNTY","FIPS_CODE","BASIN","NAME","HUC_8","WQ_STANDARD","DEC_REGION","PWL_ID","WIN","HABITAT_TYPE","SITE_CONDITION","DRAINAGE","NED10_Elevation"
2487,"ADKS_09",0.8,"9","Jerden Falls Rd","Croghan",44.00472,-75.32639,"Lewis",49,"9","Jerden Falls",4150302,"D",6,"0905-0003","SL-25-73-33b",NA,NA,NA,302.9890747
2488,"ADKS_10",0.3,"10","ADK Park Rd off Jerdens Falls Rd","Diana",44.09195,-75.27722,"Lewis",49,"9","Unnamed Tributary to Middle Branch Oswegatchie River",4150302,"CTS",6,"0905-0153","SL-25-73-26-4",NA,NA,NA,257.6059265
2489,"ADKS_11",0.3,"11","Frenchsett Rd","Diana",44.11667,-75.32472,"Lewis",49,"9","Unnamed Tributary to Middle Branch Oswegatchie River",4150302,"D",6,"0905-0153","SL-25-73-26-a",NA,NA,NA,262.0770874
2490,"ADKS_12",0.5,"12","Kimball Mill Rd","Diana",44.10139,-75.33417,"Lewis",49,"9","Unnamed Tributary to W. Br. Oswegatchie R.",4150302,"D",6,"0905-0003","SL-25-73-27a",NA,NA,NA,268.8829651
2491,"ADKS_13",0.5,"13","Off Blue Swamp Rd","Croghan",44.0105,-75.2331,"Lewis",49,"9","Unnamed Tributary to Blue Swamp Creek",4150302,"D",6,"0905-0003","SL-25-73",NA,NA,NA,409.8522644
2492,"ADKS_14",0.4,"14","Bald Mt Rd","Diana",44.05083,-75.22139,"Lewis",49,"9","Unnamed Tributary to Palmer Creek",4150302,"CT",6,"0905-0153","SL-25-73-26-9-a",NA,NA,NA,356.0762634
2493,"ADKS_15",0.9,"15","Remote; hike-in","Webb",44.0364,-75.0936,"Herkimer",43,"9","Massawepie Creek",4150302,"C(T)",6,"0905-0153","SL-25-73-26",NA,NA,NA,496.4877014
2494,"ADKS_16",0.1,"16","Off Long Pond Rd","Croghan",43.95167,-75.28194,"Lewis",49,"8","Cold Creek",4150101,"CT",6,"0801-0239","ONT-19-40-10-4-1",NA,NA,NA,343.8094482
2495,"ADKS_17",0.6,"17","Trail off North Point Rd","Long Lake",43.92472,-74.81416,"Hamilton",41,"8","Unnamed Tributary to Stillwater Reservoir",4150101,"CT",5,"0801-0184","ONT-19-4-P493-21-1-3",NA,NA,NA,560.3334351
2496,"ADKS_18",0.5,"18","Lake Lila Access Rd","Long Lake",43.97417,-74.79361,"Hamilton",41,"8","Unnamed Tributary to Beaver River",4150101,"CT",5,"0801-0293","ONT-19-40-P493-19-P539-4",NA,NA,NA,523.9987183
2497,"ADKS_19",0.2,"19","100 m above bridge","Long Lake",43.93333,-74.68806,"Hamilton",41,"8","Unnamed Tributary to Shingle Shanty Brook",4150101,"CT",5,"0801-0297","ONT-19-40-P493-19-P539-5-P541-7-3-P552-2-P560-1",NA,NA,NA,603.2501221
2498,"ADKS_20",3.9,"20","Erie Canal Rd Access","Watson",43.79361,-75.31917,"Lewis",49,"8","South  Branch Crystal Creek",4150101,"C(T)",6,"0801-0240","ONT-19-45-5-4",NA,NA,NA,342.941803
2499,"ADKS_21",0.2,"21","Stillwater Rd","Webb",43.86083,-75.14,"Lewis",49,"8","Unnamed Tributary to Beaver River",4150101,"CT",6,"0801-0210","ONT-19-40-P 449-1-1",NA,NA,NA,461.0177917
2500,"ADKS_22",0.2,"22","Off Stillwater Rd","Watson",43.85444,-75.16111,"Lewis",49,"8","Unnamed Tributary to Francis Lake",4150101,"C",6,"0801-0210","ONT-19-40-P449-2-P450-2-P451-1-P452-1",NA,NA,NA,443.7700806
2501,"ADKS_23",0.1,"23","DEC campground","Inlet",43.76805,-74.71389,"Hamilton",41,"8","Unnamed Tributary to Eighth Lake Outlet",4150101,"C",5,"0801-0207","ONT-19-81-18-P782d-10-P787a-2-1",NA,NA,NA,546.0722046
2502,"ADKS_24",0.8,"24","0.4 mi walk","Greig",43.66861,-75.26889,"Lewis",49,"8","Unnamed Tributary to Fish Creek",4150101,"CT",6,"0801-0225","ONT-19-70-3-1",NA,NA,NA,371.0560303
2503,"ADKS_25",1.4,"25","200 m above North/South Rd","Lyonsdale",43.63667,-75.30139,"Lewis",49,"8","Unnamed Tributary to Moose River (Trib #3)",4150101,"CT",6,"0801-0226","ONT-19-81-3",NA,NA,NA,320.8453369
2504,"ADKS_26",9.8,"26","Steam Mill Rd","Greig",43.68778,-75.21555,"Lewis",49,"8","Fish Creek",4150101,"CT",6,"0801-0225","ONT-19-70",NA,NA,NA,412.1891174
2505,"ADKS_27",0.1,"27","Adirondack League Club, off Bisby Rd","Webb",43.64722,-74.96361,"Herkimer",43,"8","Unnamed Tributary to Little Moose Outlet",4150101,"CT",6,"0801-0227","ONT-19-81-34",NA,NA,NA,509.3171692
2506,"ADKS_28",1.3,"28","Off Moose River Rd","Inlet",43.71556,-74.76083,"Hamilton",41,"8","Fawn Lake Inlet",4150101,"CT",5,"0801-0391","ONT-19-81-44-P 826-4",NA,NA,NA,604.1448364
2507,"ADKS_29",0.9,"29","Off Moose River Rd","Inlet",43.70333,-74.77834,"Hamilton",41,"8","Limekiln Lake Trib",4150101,"CT",5,"0801-0391","ONT-19-81-44-P826-5",NA,NA,NA,600.588501
2508,"ADKS_30",0.1,"30","Off Moose River Rd","Inlet",43.7011,-74.7573,"Hamilton",41,"8","Red River Trib #12",4150101,"CT",5,"0801-0227","ONT-19-81-55-12",NA,NA,NA,612.6871338
2509,"ADKS_31",0.1,"31","Off Moose River Rd","Inlet",43.70306,-74.75694,"Hamilton",41,"8","Red River Trib #12",4150101,"CT",5,"0801-0227","ONT-19-81-55-12",NA,NA,NA,616.1593628
2510,"ADKS_32",0.1,"32","Off Moose River Rd","Inlet",43.70222,-74.75278,"Hamilton",41,"8","Red River Trib #12",4150101,"CT",5,"0801-0227","ONT-19-81-55-12-1",NA,NA,NA,611.8648682
2511,"ADKS_33",0.1,"33","10 m above Otter Brook Rd","Morehouse",43.64917,-74.68833,"Hamilton",41,"8","Unnamed Tributary to Falls Creek",4150101,"CT",5,"0801-0398","ONT-19-81-61-4",NA,NA,NA,594.5949097
2512,"ADKS_34",0.2,"34","50 m above Moose River Rd","Arietta",43.7025,-74.596388,"Hamilton",41,"8","Bradley Brook",4150101,"C(T)",5,"0801-0346","ONT-19-81",NA,NA,NA,642.9119873
2513,"ADKS_35",2,"35","Off Moose River Rd","Arietta",43.7025,-74.575,"Hamilton",41,"8","Silver Run",4150101,"CT",5,"0801-0346","ONT-19-81-71-2",NA,NA,NA,694.4855957
2514,"ADKS_36",0.5,"36","Otter Brook Rd; park at campsite #108","Morehouse",43.65583,-74.67555,"Hamilton",41,"8","Unnamed Tributary to Otter Brook",4150101,"CT",5,"0801-0398","ONT-19-81-61-5",NA,NA,NA,581.8032837
2515,"ADKS_37",5,"37","Off Buck Lake Rd","Forestport",43.53944,-75.205,"Oneida",65,"8","Cummings Creek",4150101,"CT",6,"0801-0233","ONT-19-94",NA,NA,NA,392.6598816
2516,"ADKS_38",0.2,"38","Above Bisby Rd","Webb",43.61833,-74.94639,"Herkimer",43,"8","Unnamed Tributary to Big Woodhull Creek",4150101,"C",6,"0801-0234","ONT-19-104-P981-1-P982-10",NA,NA,NA,575.1367798
2517,"ADKS_39",0.3,"39","Off Farr Rd","Ohio",43.45667,-75.00417,"Herkimer",43,"8","Vincent Brook",4150101,"C",6,"0801-0237","ONT-19-119-4a",NA,NA,NA,499.6459961
2518,"ADKS_40",0.1,"40","Hike 0.5 miles from N. Lake Rd","Ohio",43.48611,-75.0025,"Herkimer",43,"8","Unnamed Tributary to Otter Brook",4150101,"CT",6,"0801-0237","ONT-19-122-1a",NA,NA,NA,492.8298035
3186,"ADKS_41",0.2,"41","Above CR 5","Wells",43.39889,-74.30028,"Hamilton",41,"11","Unnamed Tributary to Sacandaga River",2020002,"AA",5,"1104-0164","H-369-P276a-23a",NA,NA,NA,319.4904785
3187,"ADKS_42",0.2,"42","Off CR 10","Caroga",43.22194,-74.53667,"Fulton",35,"12","Unnamed Tributary to Canada Lake",2020004,NA,5,"1201-0166","H-240-144-13-P717-1-P718-2-2-P721-1-P722-a",NA,NA,NA,516.8905029
3188,"ADKS_43",0.1,"43","G Lake Rd","Morehouse",43.39861,-74.63611,"Hamilton",41,"11","Unnamed Tributary to Piseco Lake Outlet",2020002,"CT",5,"1104-0159","H-369-20-23-P234-4-P239-1-1-1",NA,NA,NA,537.9872437
3189,"ADKS_44",0.5,"44","SR 30","Lake Pleasant",43.62472,-74.40389,"Hamilton",41,"11","Unnamed Tributary to Miami River",2020001,NA,5,"1104-0060","H-461-P597-26-a",NA,NA,NA,525.4265137
3190,"ADKS_45",0.8,"45","South of SR 30","Wells",43.50139,-74.31084,"Hamilton",41,"11","Unnamed Tributary to Sacandaga River",2020002,"CT",5,"1104-0153","H-369-39",NA,NA,NA,550.0900879
3191,"ADKS_46",1.3,"46","Wilmurt Lake Rd","Morehouse",43.41444,-74.72278,"Hamilton",41,"12","Unnamed Tributary to Wilmurt Lake",2020004,"CT",5,"1203-0059","H-240-180-74-6-2a",NA,NA,NA,684.168396
3192,"ADKS_47",0.8,"47","SR 8","Thurman",43.51333,-74.15833,"Hamilton",41,"11","Unnamed Tributary to East Branch Sacandaga River",2020002,NA,5,"1104-0057","H-369-29-9a",NA,NA,NA,419.6832581
3193,"ADKS_48",0.9,"48","Creek Rd","Hope",43.305,-74.20361,"Hamilton",41,"11","Unnamed Tributary to East Stony Creek",2020002,NA,5,"1104-0038","H-369-P 127-48-3",NA,NA,NA,304.3685303
3194,"ADKS_49",0.3,"49","Black Bridge Rd","Wells",43.36083,-74.32667,"Hamilton",41,"11","Unnamed Tributary to West Branch Sacandaga River",2020002,"CT",5,"1104-0063","H-369-20-2-1",NA,NA,NA,329.3328552
3195,"ADKS_50",0.5,"50","SR 10","Caroga",43.1675,-74.49445,"Hamilton",41,"12","Unnamed Tributary to Canada Lake",2020004,"C",5,"1201-0166","H-240-144-13-P717-3-2a",NA,NA,NA,517.8104248
3196,"ADKS_51",0.1,"51","North off SR 8","Ohio",43.38417,-74.93472,"Herkimer",43,"12","Unnamed Tributary to Mad Tom Brook",2020004,NA,6,"1203-0008","H-240-180-66-a",NA,NA,NA,449.5320129
3197,"ADKS_52",3.3,"52","Gilmantown Rd","Wells",43.42861,-74.31778,"Hamilton",41,"11","Elbow Creek",2020002,"CT",5,"1104-0164","H-369-28-9",NA,NA,NA,472.9047241
3198,"ADKS_53",0.7,"53","SR 8","Lake Pleasant",43.43972,-74.46806,"Hamilton",41,"11","Unnamed Tributary to Piseco Lake Outlet",2020002,"CT",5,"1104-0159","H-369-20-23-P234-12-P252-3-1",NA,NA,NA,529.9280396
3373,"ADKS11_08",0.7,"8","10m upstream of foot path","Schroon",43.87746,-73.88422,"Essex",31,"11","Unnamed Tributary to West Br.",2020001,"CT",5,"1104-0211","H-391-P 374-1-21",NA,NA,NA,496.8304443
3375,"ADKS11_103",1.6,"103","Padanarum Rd","Bolton",43.67374,-73.62859,"Warren",113,"10","Round Pond Brook",2010008,"AA-S",5,"1006-0023","C-101-P367-65",NA,NA,NA,257.8961792
3344,"ADKS11_120",0.9,"120","0.75 miles  south off SR 30","Wells",43.5014,-74.3108,"Hamilton",41,"11","Unnamed Tributary to Sacandaga River",2020002,"CT",5,"1104-0153","H-369-39",NA,NA,NA,550.0900879
3345,"ADKS11_124",1.7,"124","Wilmurt Lake Rd","Morehouse",43.41408,-74.72326,"Hamilton",41,"12","Unnamed Tributary to Wilmurt Lake Outlet",2020004,"CT",5,"1203-0059","H-240-180-74-6-2a",NA,NA,NA,682.1965332
3364,"ADKS11_147",0.5,"147","20m upstream of Cascade Pond","Indian Lake",43.84036,-74.43049,"Hamilton",41,"11","Unnamed Tributary to Cedar River",2020001,NA,5,"1104-0064","H-469-9-19",NA,NA,NA,575.5958862
3370,"ADKS11_156",0.1,"156","Tahawus Rd","Newcomb",43.96827,-74.05109,"Essex",31,"11","Unnamed Tributary to Upper  Hudson River",2020001,"CT",5,"1104-0055","H-526a",NA,NA,NA,527.5050049
3363,"ADKS11_157",1.6,"157","20m downstream of Rte. 30","Indian Lake",43.86745,-74.43266,"Hamilton",41,"9","Unnamed Tributary to Blue",4150305,"D",5,"0903-0200","SL-1-172-P293-4-P304-P306-P307-4",NA,NA,NA,597.173584
3386,"ADKS11_16",0.2,"16","Above CR 5","Wells",43.39841,-74.30006,"Hamilton",41,"11","Unnamed Tributary to Sacandaga River",2020002,"AA",5,"1104-0164","H-369-P276a-23a",NA,NA,NA,315.9196472
3368,"ADKS11_165",0.1,"165","40m uptream of bridge on Barton Mines Rd","Johnsburg",43.71979,-74.064,"Warren",113,"11","Unnamed Tributary to Balm of Gilead Brook",2020001,NA,5,"1104-0054","H-427-1",NA,NA,NA,436.0625
3367,"ADKS11_166",1.5,"166","100m upstream of bridge on Barton Mines Rd","Johnsburg",43.69683,-74.06022,"Warren",113,"11","Unnamed Trib to East Branch Sacandaga River",2020002,"C",5,"1104-0057","H-369-29-30-2-P299-1",NA,NA,NA,639.9194946
3346,"ADKS11_168",0.8,"168","SR 8","Thurman",43.51344,-74.15853,"Warren",113,"11","Unnamed Tributary to East Branch Sacandaga River",2020002,NA,5,"1104-0057","H-369-29-9a",NA,NA,NA,419.3977966
3357,"ADKS11_171",0.2,"171","10 m above Johns Brook Trail","Keene",44.18132,-73.82802,"Essex",31,"10","Bear Brook",2010004,"AA(T)",5,"1004-0074","C- 25-27-36",NA,NA,NA,538.5496216
3347,"ADKS11_176",0.9,"176","Creek Rd","Hope",43.30468,-74.20326,"Hamilton",41,"11","Unnamed Tributary to East Stony Creek",2020002,NA,5,"1104-0038","H-369-P 127-48-3",NA,NA,NA,301.1444397
3374,"ADKS11_180",0.6,"180","off foot path up Severance Hill","Schroon",43.8625,-73.76226,"Essex",31,"11","Unnamed Tributary to Schroon",2020001,"C",5,"1104-0190","H-391-37a",NA,NA,NA,310.3792114
3360,"ADKS11_2004",2.5,"2004","Above pump house on Whiteface","Wilmington",44.38991,-73.8975,"Essex",31,"10","Unnamed Tributary to Frenchs Brook",2010006,"C(T)",5,"1003-0071","C-15-31 thru 47",NA,NA,NA,985.0776978
3359,"ADKS11_2005",3.2,"2005","high elevation site","Wilmington",44.41785,-73.8672,"Essex",31,"10","Unnamed Tributary to Frenchs Brook",2010006,"C(T)",5,"1003-0071","C- 15-31 thru 47 (selected)",NA,NA,NA,899.8984985
3361,"ADKS11_2006",3.1,"2006","below Whiteface accesss road","Wilmington",44.3771,-73.9013,"Essex",31,"10","Unnamed Tributary to Frenchs Brook",2010006,"C(T)",5,"1003-0071","C-15-31 thru 47",NA,NA,NA,1118.184448
3356,"ADKS11_2007",2.5,"2007","High elevation site","Keene",44.1957,-73.8459,"Essex",31,"10","Unnamed Tributary to Slide Brook",2010004,"AA(T)",5,"1004-0074","C- 25-27-36",NA,NA,NA,780.1087036
3353,"ADKS11_2009",0.3,"2009","High elevation site","Newcomb",44.12647,-73.98435,"Essex",31,"11","Cold Brook",2020001,NA,5,"1104-0056","H-543-P 706-1",NA,NA,NA,878.3048706
3354,"ADKS11_2010",0.3,"2010","20m upstream from Avalanche Lake","Keene",44.13723,-73.96067,"Essex",31,"11","Unnamed Tributary to Avalanche Lake",2020001,NA,5,"1104-0056","H-543-P707-a",NA,NA,NA,896.8817139
3355,"ADKS11_2011",0.7,"2011","15m downstream of Phelps Mtn.","North Elba",44.15621,-73.94629,"Essex",31,"10","Phelps Brook",2010004,"C(T)",5,"1004-0056","C- 25-26",NA,NA,NA,757.583374
3358,"ADKS11_206",0.2,"206","short walk on trail","Keene",44.1645,-73.78214,"Essex",31,"10","Deer Falls Brook",2010004,"AA(T)",5,"1004-0072","C- 25-27",NA,NA,NA,362.8167725
3348,"ADKS11_209",0.1,"209","Black Bridge Rd","Wells",43.36115,-74.32703,"Hamilton",41,"11","Unnamed Tributary to West Branch Sacandaga River",2020002,"CT",5,"1104-0063","H-369-20-2-1",NA,NA,NA,331.7459106
3365,"ADKS11_212",0.1,"212","50m south off Rte. 30","Indian Lake",43.8206,-74.34824,"Hamilton",41,"11","Unnamed Tributary to Cedar River",2020001,NA,5,"1104-0064","H-469-9-P637-2-2",NA,NA,NA,542.8410034
3349,"ADKS11_224",0.4,"224","SR 10","Caroga",43.16624,-74.49462,"Fulton",35,"12","Unnamed Tributary to Canada Lake",2020004,"C",5,"1201-0166","H-240-144-13-P717-3-2a",NA,NA,NA,512.9251099
3350,"ADKS11_233",0.3,"233","North off SR 8","Ohio",43.38652,-74.93327,"Herkimer",43,"12","Unnamed Tributary to Mad Tom Brook",2020004,NA,6,"1203-0008","H-240-180-66-a",NA,NA,NA,458.3667603
3372,"ADKS11_245",1.4,"245","Behind Hornbeck canoe manufacturer","Minerva",43.77886,-73.91409,"Essex",31,"11","Unnamed Tributary to Trout Brook",2020001,"CT",5,"1104-0214","H-391-P 374-1-6-1",NA,NA,NA,336.7527771
3351,"ADKS11_247",2.1,"247","Gilmantown Rd","Wells",43.42315,-74.30125,"Hamilton",41,"11","Elbow Creek",2020002,NA,5,"1104-0164","H-369-24",NA,NA,NA,421.8083191
3352,"ADKS11_262",0.7,"262","SR 8","Lake Pleasant",43.43992,-74.46825,"Hamilton",41,"11","Unnamed Tributary to Piseco Lake Outlet",2020002,"CT",5,"1104-0159","H-369-20-23-P234-12-P252-3-1",NA,NA,NA,528.7521362
3369,"ADKS11_278",0.8,"278","100m upstream of Ataeka Rd.","Chester",43.5933,-73.84997,"Warren",113,"11","Unnamed Tributary to Upper Hudson River",2020001,"CT",5,"1104-0251","H-400",NA,NA,NA,234.934845
3387,"ADKS11_41",0.8,"41","Off SR 10","Caroga",43.22274,-74.53584,"Fulton",35,"12","Unnamed Tributary to Canada Lake",2020004,NA,5,"1201-0166","H-240-144-13-P717-1-P718-2-2-P721-1-P722-a",NA,NA,NA,506.2199402
3371,"ADKS11_46",1.6,"46","Healy Rd","Minerva",43.79996,-73.96865,"Essex",31,"11","Unnamed Tributary to Minerva Stream",2020001,"CT",5,"1104-0214","H-391-P374-1-6-6-1-P381c-a",NA,NA,NA,392.1734009
3342,"ADKS11_60",0.2,"60","G Lake Rd","Morehouse",43.39836,-74.63679,"Hamilton",41,"11","Unnamed Tributary to Piseco Lake Outlet",2020002,"CT",5,"1104-0159","H-369-20-23-P234-4-P239-1-1-1",NA,NA,NA,536.0358887
3366,"ADKS11_63",0.6,"63","50m upstream of Rte. 28","Indian Lake",43.80576,-74.31699,"Hamilton",41,"11","Unnamed Tributary to Cedar River",2020001,NA,5,"1104-0064","H-469-15",NA,NA,NA,563.5419922
3362,"ADKS11_65",0.1,"65","20m upstream of North Point Rd.","Arietta",43.91317,-74.48412,"Hamilton",41,"9","Unnamed Tributary to Raquette River",4150305,"C",5,"0903-0079","SL-1-167a",NA,NA,NA,508.5596313
3343,"ADKS11_72",0.4,"72","SR 30","Lake Pleasant",43.62499,-74.40435,"Hamilton",41,"11","Unnamed Tributary to Miami River",2020001,NA,5,"1104-0060","H-461-P597-26-a",NA,NA,NA,519.0298462
3484,"ADKS12_105",1.2,"105","At Bartlett Road road crossing","Wilmington",44.305556,-73.814722,"Essex",31,"10","Liscomb Brook",2010004,"AA(T)",5,"1004-0071","C- 25-27",NA,NA,NA,450.7634583
3488,"ADKS12_110",0.7,"110","0.6 mile bushwack around base of Third Burnt Hill leave trail to Taylor Pond at coordinates 44.460017 / -73.896068 and head northeast","Black Brook",44.466111,-73.886389,"Clinton",19,"10","Unnamed Tributary to Taylor Pond",2010004,"C(T)",5,"1004-0042","C- 25-26",NA,NA,NA,469.4413452
3502,"ADKS12_113",0.8,"113","West off ADK Northway 0.17 miles at coordinates 44.000103 / -73.718485","North Hudson",44.001389,-73.721389,"Essex",31,"11","Walker Brook",2020001,"CT",5,"1104-0191","H-391-54",NA,NA,NA,289.7108459
3492,"ADKS12_123",0.5,"123","0.5 miles bushwack south off trail from golf course in Ray Brook","North Elba",44.286667,-74.069444,"Essex",31,"10","Unnamed Tributary to Ray Brook",2010006,"C(T)",5,"1003-0074","C- 15-P 86-P 90-60",NA,NA,NA,483.8779602
3500,"ADKS12_151",0.1,"151","At Route 9 road crossing at coordinates 44.138494 / -73.637197","Elizabethtown",44.138611,-73.637222,"Essex",31,"10","Stevens Brook",2010008,"C(T)",5,"1004-0081","C- 48",NA,NA,NA,199.7961884
3486,"ADKS12_183",0.3,"183","Just north off Hurricane Road at coordinates 44.228226 / -73.745509","Keene",44.228889,-73.745278,"Essex",31,"10","Unnamed Tributary to Spruce Hill Brook",2010004,"AA(T)",5,"1004-0071","C- 25-27",NA,NA,NA,517.015625
3491,"ADKS12_184",1,"184","Just west off Bonnieview Ave / Co Hwy 19A in Wilmington at coordinates 44.410896 / -73.809440","Wilmington",44.411389,-73.810833,"Essex",31,"10","Unnmaed Tributary to West Branch Ausable River",2010004,"C(T)",5,"1004-0042","C- 25-26",NA,NA,NA,359.6101379
3495,"ADKS12_2000",2.7,"2000","0.05 mile bushwack south off trail from Hopkins Mountain via the Ranney Trail at coordinates  44.178899 / -73.732534","Keene",44.178333,-73.732778,"Essex",31,"10","Putnam Brook",2010004,"AA(T)",5,"1004-0072","C- 25-27",NA,NA,NA,948.0404053
3496,"ADKS12_2001",0.8,"2001","0.05 mile bushwack north off the Weld Trail from Lower Ausable Lake at coordinates 44.119865 / -73.839907","Keene",44.120556,-73.839722,"Essex",31,"10","Unnamed Tributary to East Branch Ausable River",2010004,"AA(T)",5,"1004-0072","C- 25-27",NA,NA,NA,850.0148926
3497,"ADKS12_2002",3.3,"2002","0.06 mile bushwack east off Fain Ladder Falls Trail from Lower Ausable Lake at coordinates 44.103188 / -73.821276","Keene",44.1025,-73.820278,"Essex",31,"10","Gill Brook",2010004,"AA(T)",5,"1004-0072","C- 25-27",NA,NA,NA,900.8499146
3494,"ADKS12_2008",1.9,"2008","0.06 mile bushwack off trail up Hedgehog Mountain at coordinates 44.160900 / -73.810579","Keene",44.161111,-73.811667,"Essex",31,"10","Deer Falls Brook",2010004,NA,5,"1004-0072","C- 25-27",NA,NA,NA,971.3604126
3493,"ADKS12_2012",2.8,"2012","0.2 mile bushwack southwest off trail through klondike notch at coordinates 44.167298 / -73.899572  access via trail from Southmeadow Campground or Johns Brook Trail at the Garden","North Elba",44.165556,-73.9025,"Essex",31,"10","Klondike Brook",2010004,"C(T)",5,"1004-0056","C- 25-26",NA,NA,NA,917.2954102
3499,"ADKS12_240",0.1,"240","Just north off Pelfishire Road from Bartlett Brook road crossing","Moriah",44.080556,-73.491389,"Essex",31,"10","Bartlett Brook",2010008,"A",5,"1001-0025","C- 86-3",NA,NA,NA,238.2132721
3498,"ADKS12_249",4.7,"249","Take trail south west off McMahon Road, trail meets road at coordinates 44.180450 / -73.495210, bushwack 0.06 miles east off trail at coordinates 44.179403 / -73.495954","Westport",44.178889,-73.494722,"Essex",31,"10","Hoisington Brook",2010008,"C(T)",5,"1001-0023","C- 73",NA,NA,NA,195.0470886
3489,"ADKS12_257",0.7,"257","Just north off County Highway 18A/Guilespy Road at coordinates 44.411788 / -73.906981","St Armand",44.41706,-73.912503,"Essex",31,"10","Unnamed Tributary to Frenchs Brook",2010006,"C(T)",5,"1003-0071","C- 15-31 thru 47 (selected)",NA,NA,NA,549.4152222
3501,"ADKS12_258",1.1,"258","At ADK Northway Southbound road crossing at coordinates 44.058073 / -73.684559","North Hudson",44.058333,-73.685556,"Essex",31,"11","Lindsay Brook",2020001,NA,5,"1104-0191","H-391-67",NA,NA,NA,318.9711304
3490,"ADKS12_276",1.4,"276","0.3 mile hike up ski trail at Marble Mountain to the trail crossing over White Brook, access is via Whiteface Memorial Highway","Wilmington",44.391111,-73.858889,"Essex",31,"10","White Brook",2010004,"C(T)",5,"1004-0013","C- 25-26",NA,NA,NA,586.1392212
3487,"ADKS12_78",0.8,"78","0.05 miles east from end of Bear Brook Way at coordinates 44.229956 / -73.738307","Keene",44.23,-73.736389,"Essex",31,"10","Unnamed Tributary to Spruce Hill Brook",2010004,"AA(T)",5,"1004-0071","C- 25-27",NA,NA,NA,582.1560059
3483,"ADKS12_83",1.1,"83","0.2 mile hike east on trail off Clintonville Road, trail begins at coordinates 44.412981 / -73.569368","Chesterfield",44.411944,-73.566944,"Essex",31,"10","Unnamed Tributary to Durgan Brook",2010008,"C(T)",5,"1004-0036","C- 48- 6",NA,NA,NA,278.2307129
3485,"ADKS12_98",1,"98","0.1 mile bushwack off dead end road off Irish Hill/Zimmery Road. Dead end rd leaves Irish Hill rd at coordinates 44.293360 / -73.773648. Bushwack should begin at coordinates 44.288281 / -73.770674","Keene",44.287778,-73.768889,"Essex",31,"10","Unnamed Tributary to Styles Brook",2010004,"AA(T)",5,"1004-0071","C- 25-27",NA,NA,NA,426.3908081
