"WSEI_SAMPLE_ID","WSEI_LATITUDE","WSEI_LONGITUDE","Date","WSEI_PRIMARY_CONTACT","WSEI_SECONDARY_CONTACT","WSEI_WATER_CLARITY","WSEI_SUSPENDED_PHYTOPLANKTON","WSEI_PERIPHYTON","WSEI_MACROPHYTE","WSEI_ODOR","WSEI_TRASH","WSEI_DISCHARGE_PIPE","WSEI_PRIMARY_VARIABLE","WSEI_CURRENT_WEATHER","WSEI_PREV_WEATHER","WSEI_EPIFAUNAL_COVER","WSEI_EMBEDDEDNESPOOLING","WSEI_VELOCITY_DEPTH_REGIME","WSEI_SEDIMENT_DEPOSITION","WSEI_FLOW_STATUS","WSEI_CHANNEL_ALTERATION","WSEI_RIFFLE_BEND_FREQUENCY","WSEI_LEFT_BANK_STABILITY","WSEI_RIGHT_BANK_STABILITY","WSEI_LEFT_BANK_VEG","WSEI_RIGHT_BANK_VEG","WSEI_LEFT_BANK_VEG_ZONE","WSEI_RIGHT_BANK_VEG_ZONE","CreationDate","EditDate","WSEI_COLLECTION_DATE","WSEI_USER_NOTES"
"43.449307780897215_-74.2425485813148_20240829",43.445769,-74.251157,"8/29/2024 16:00","a","a",0,0,0,0,0,0,0,"","sun","sun","a","a","a","a","a","a","a","a","a","a","a","a","a","10/21/2024 23:15","10/21/2024 23:15","08/29/2024",""
"44.431985539476884_-74.30052555073048_20240830",44.431986,-74.300526,"8/30/2024 16:00","b","d",5,5,5,5,5,0,0,"water_clarity,periphyton","sun","sun","b","c","b","c","c","a","b","a","b","b","a","b","a","10/21/2024 23:23","10/21/2024 23:23","08/30/2024",""
"43.05882287658514_-75.38880916345954_20240818",43.058823,-75.388809,"8/17/2024 16:00","a","a",0,0,0,0,0,0,0,"","sun","sun","a","a","a","a","a","a","a","a","a","a","a","a","a","10/21/2024 23:28","10/21/2024 23:28","08/17/2024",""
"43.22669393030721_-75.28654315239251_20240818",43.226694,-75.286543,"8/17/2024 16:00","b","c",0,0,0,0,0,5,0,"trash","clouds","clouds","b","a","b","b","a","a","a","a","b","a","b","a","b","10/21/2024 23:33","10/21/2024 23:33","08/17/2024",""
"",43.4159942,-73.71744633,"9/18/2024 16:00","f","f",0,NA,NA,NA,0,0,NA,"","sun","sun","b","b","b","a","a","a","a","a","a","a","a","a","a","","","09/18/2024",""
"",43.5526,-73.5975,"7/3/2024 11:49","f","f",1,0,1,2,0,2,1,"","clouds","clouds","a","a","a","b","b","a","a","b","a","b","a","c","a","","","07/03/2024",""
"44.292357_-74.315412_20240827",44.292357,-74.315412,"8/27/2024 16:00","e","d",0,0,0,0,0,0,0,"water_clarity,other(list)","sun","clouds","a","c","c","a","b","a","c","c","c","a","a","a","a","9/1/2024 1:11","9/1/2024 1:11","08/27/2024",""
"42.877761_-73.4946989_20240730",42.8777609,-73.4946989,"7/30/2024 16:00","b","b",0,1,6,2,0,0,0,"phytoplankton,periphyton","sun","sun","a","a","b","a","b","a","b","b","b","a","a","b","b","7/31/2024 14:04","7/31/2024 14:04","07/30/2024",""
"42.61253639999927_-76.8493462999987_20240926",42.612536,-76.849346,"9/26/2024 16:00","b","c",0,5,5,10,NA,0,0,"","clouds","rain","a","a","a","a","a","a","a","a","a","a","a","a","a","9/26/2024 13:30","9/26/2024 13:30","09/26/2024",""
"44.27658_-74.34847_20240928",44.27658,-74.34847,"9/28/2024 16:00","d","d",10,5,5,5,5,0,0,"water_clarity,periphyton,odor","sun","sun","a","c","c","c","a","a","c","a","a","a","a","a","a","10/3/2024 22:40","10/3/2024 22:40","09/28/2024",""
"42.194940898129545_-74.09719180549457_20240912",42.194941,-74.097192,"9/12/2024 16:00","b","a",0,0,0,0,0,0,5,"","sun","sun","a","a","a","a","a","a","a","a","a","a","a","a","a","9/16/2024 12:53","9/16/2024 12:53","09/12/2024",""
"42.336944_-76.838056_20240804",42.336944,-76.838056,"8/4/2024 16:00","a","a",0,0,0,0,0,0,0,"","sun","rain","a","a","a","a","a","b","a","c","c","c","c","c","c","8/8/2024 17:55","8/8/2024 17:55","08/04/2024",""
"42.540916_-75.508265_20240808",42.540916,-75.508265,"8/8/2024 16:00","c","c",0,0,5,0,5,10,5,"trash, discharges/pipes","clouds","rain","a","a","a","b","b","b","a","a","b","c","b","c","b","8/8/2024 18:57","8/8/2024 18:57","08/08/2024",""
"42.765_-76.976525_20240915",42.765,-76.976525,"9/15/2024 16:00","f","f",0,0,0,10,0,0,0,"","sun","sun","b","b","b","b","b","b","b","b","b","b","b","b","b","9/21/2024 12:52","9/21/2024 12:52","09/15/2024",""
"42.61573474869175_-76.87378560677_20240926",42.615735,-76.873786,"9/26/2024 16:00","f","f",5,5,10,10,5,0,0,"periphyton","clouds","rain","a","a","a","a","b","c","c","a","a","a","a","a","a","9/26/2024 12:46","9/26/2024 12:46","09/26/2024",""
"42.64983901941339_-75.78731910288516_20240807",42.649839,-75.787319,"8/7/2024 16:00","b","b",0,0,5,0,0,5,0,"","clouds","rain","a","a","b","b","b","b","a","b","c","b","c","b","c","8/7/2024 19:14","8/7/2024 19:14","08/07/2024",""
"42.61189369999928_-76.84930299999871_20240817",42.611894,-76.849303,"8/17/2024 16:00","","",NA,NA,NA,NA,NA,NA,NA,"","","","a","a","a","a","a","a","a","a","a","a","a","a","a","8/17/2024 13:11","8/17/2024 13:11","08/17/2024",""
"42.868889_-76.994444_20240801",42.868889,-76.994444,"8/1/2024 16:00","f","f",0,NA,0,0,0,0,5,"","sun","rain","a","a","b","b","c","b","c","a","a","a","a","b","b","8/2/2024 14:33","8/2/2024 14:33","08/01/2024",""
"42.49058_-76.913779_20240714",42.49058,-76.913779,"7/14/2024 16:00","a","f",0,0,0,0,0,0,0,"","sun","sun","a","a","a","a","a","a","a","a","a","a","a","a","a","7/19/2024 15:33","7/19/2024 15:33","07/14/2024",""
"42.60344011974672_-75.64507262817537_20240807",42.60344,-75.645073,"8/7/2024 16:00","c","b",0,5,0,5,5,5,5,"odor","clouds","rain","a","a","a","b","b","b","b","b","a","b","c","b","b","8/7/2024 20:30","8/7/2024 20:30","08/07/2024",""
"42.457315_-75.53909_20240808",42.457315,-75.53909,"8/8/2024 16:00","b","b",0,5,5,5,0,5,0,"trash","clouds","rain","b","b","b","b","b","b","b","b","c","b","c","a","c","8/8/2024 18:49","8/8/2024 18:49","08/08/2024",""
"42.611942699999275_-76.8492886999987_20240916",42.6119427,-76.8492887,"9/16/2024 16:00","b","a",0,0,5,5,5,5,0,"water_clarity","sun","sun","a","a","a","a","a","a","a","a","a","a","a","a","a","9/16/2024 19:59","9/16/2024 19:59","09/16/2024",""
"42.68080603750286_-76.95293434347393_20240924",42.68056,-76.95328,"9/24/2024 16:00","c","d",0,0,0,0,0,0,5,"discharges/pipes","clouds","rain","a","a","a","b","b","b","b","a","c","a","c","a","a","9/25/2024 20:40","9/25/2024 20:40","09/24/2024",""
"42.68063366171565_-76.95360623809823_20240721",42.68061,-76.95322,"7/21/2024 16:00","c","f",0,0,5,0,0,0,5,"","clouds","sun","a","a","a","a","a","b","b","a","b","a","b","a","b","7/21/2024 18:16","7/21/2024 18:16","07/21/2024",""
"42.70531_-73.6995828_20240806",42.70531,-73.6995828,"8/6/2024 16:00","d","d",0,0,0,5,0,10,0,"trash,other(list)","","","b","b","a","b","b","c","a","b","b","b","a","b","b","8/22/2024 19:10","8/22/2024 19:10","08/06/2024",""
"42.8781359288174_-75.71783102083208_20240924",42.87813593,-75.71783102,"9/24/2024 16:00","f","f",0,0,0,0,NA,NA,NA,"","rain","clouds","a","b","b","a","b","a","b","a","a","a","a","a","a","9/26/2024 16:30","9/26/2024 16:30","09/24/2024",""
"42.88022136936895_-75.71211132953025_20240926",42.88022137,-75.71211133,"9/26/2024 16:00","b","b",0,0,0,0,0,NA,NA,"","rain","rain","a","a","b","b","b","a","b","a","a","a","a","a","a","9/26/2024 15:46","9/26/2024 15:46","09/26/2024",""
