ObjectID,GlobalID,Order,Family,Final ID,"Please describe the ""other"" bug",Please include any other notes about the particular bug.,ParentGlobalID,,CreationDate,Creator,EditDate,Editor,bug_num
1867,1e45500a-11f0-42e6-864f-5293b24e13cb,Trichoptera,Rhyacophilidae,(Trichoptera) Rhyacophilidae,,,688d7fe7-63b4-4beb-8819-cea681620575,,1/10/2023 18:26,keleigh.reynolds@dec.ny.gov_nysdec,1/10/2023 18:26,keleigh.reynolds@dec.ny.gov_nysdec,1
1868,f5dd32bd-1039-4a01-871a-9d85be164f12,Trichoptera,Leptoceridae,(Trichoptera) Leptoceridae,,,688d7fe7-63b4-4beb-8819-cea681620575,,1/10/2023 18:26,keleigh.reynolds@dec.ny.gov_nysdec,1/10/2023 18:26,keleigh.reynolds@dec.ny.gov_nysdec,1
1869,dc7f8c8a-5738-446a-83cb-a811c0b20828,OTHER,,(OTHER) ,semi-aquatic spider,,688d7fe7-63b4-4beb-8819-cea681620575,,1/10/2023 18:26,keleigh.reynolds@dec.ny.gov_nysdec,1/10/2023 18:26,keleigh.reynolds@dec.ny.gov_nysdec,1
1870,130506a0-7ce0-4b5e-84ba-1a96c2493934,Coleoptera,Psephenidae,(Coleoptera) Psephenidae,,,688d7fe7-63b4-4beb-8819-cea681620575,,1/10/2023 18:26,keleigh.reynolds@dec.ny.gov_nysdec,1/10/2023 18:26,keleigh.reynolds@dec.ny.gov_nysdec,2
1871,5a8b2978-dc0f-4a89-88c4-d1fc0bb7475e,Crustacea: Decapoda,Pleocyemata: Cambaridae,(Crustacea: Decapoda) Pleocyemata: Cambaridae,,,688d7fe7-63b4-4beb-8819-cea681620575,,1/10/2023 18:26,keleigh.reynolds@dec.ny.gov_nysdec,1/10/2023 18:26,keleigh.reynolds@dec.ny.gov_nysdec,1
1872,360e7e8a-140c-4653-87c2-feab5f8c6078,Odonata: Anisoptera,Gomphidae,(Odonata: Anisoptera) Gomphidae,,,688d7fe7-63b4-4beb-8819-cea681620575,,1/10/2023 18:26,keleigh.reynolds@dec.ny.gov_nysdec,1/10/2023 18:26,keleigh.reynolds@dec.ny.gov_nysdec,1
1873,2c3b4008-760e-4a0b-828c-a0313d1c9a13,Wormlike,Hirudinea,(Wormlike) Hirudinea,,,688d7fe7-63b4-4beb-8819-cea681620575,,1/10/2023 18:26,keleigh.reynolds@dec.ny.gov_nysdec,1/10/2023 18:26,keleigh.reynolds@dec.ny.gov_nysdec,1
1874,2be982a8-34a0-4c44-8a9c-816b29214b6e,Coleoptera,Curculionidae,(Coleoptera) Curculionidae,,,688d7fe7-63b4-4beb-8819-cea681620575,,1/10/2023 18:26,keleigh.reynolds@dec.ny.gov_nysdec,1/10/2023 18:26,keleigh.reynolds@dec.ny.gov_nysdec,3
1875,53b65fa0-e0fb-4b34-808d-9a27a373a7c6,Coleoptera,Elmidae,(Coleoptera) Elmidae,,,688d7fe7-63b4-4beb-8819-cea681620575,,1/10/2023 18:26,keleigh.reynolds@dec.ny.gov_nysdec,1/10/2023 18:26,keleigh.reynolds@dec.ny.gov_nysdec,1
1876,586b44b7-88da-42e7-8bcf-8e76117008e4,Diptera,,(Diptera) Limoniidae,,hexatoma onion butt,688d7fe7-63b4-4beb-8819-cea681620575,,1/10/2023 18:26,keleigh.reynolds@dec.ny.gov_nysdec,1/10/2023 18:26,keleigh.reynolds@dec.ny.gov_nysdec,4
1877,6e77dd29-b3b4-4799-8e8c-b4c686d45517,OTHER,,(OTHER) ,pupated adult; obvious wings and mature head,,688d7fe7-63b4-4beb-8819-cea681620575,,1/10/2023 18:26,keleigh.reynolds@dec.ny.gov_nysdec,1/10/2023 18:26,keleigh.reynolds@dec.ny.gov_nysdec,1
1878,36a7201d-70d0-4b81-80c2-066d8092cb01,Diptera,Athericidae,(Diptera) Athericidae,,,688d7fe7-63b4-4beb-8819-cea681620575,,1/10/2023 18:26,keleigh.reynolds@dec.ny.gov_nysdec,1/10/2023 18:26,keleigh.reynolds@dec.ny.gov_nysdec,2
1879,ebdab457-beb6-4658-8afb-e73ff4cda901,Diptera,,(Diptera) Limoniidae,,"hexatoma, onion butt",d78c9ba3-80a7-4965-892d-79dc7956f681,,1/10/2023 18:43,keleigh.reynolds@dec.ny.gov_nysdec,1/10/2023 18:43,keleigh.reynolds@dec.ny.gov_nysdec,2
1880,c97b2fee-5352-40dd-8b51-82c2849c4659,Odonata: Anisoptera,Gomphidae,(Odonata: Anisoptera) Gomphidae,,,d78c9ba3-80a7-4965-892d-79dc7956f681,,1/10/2023 18:43,keleigh.reynolds@dec.ny.gov_nysdec,1/10/2023 18:43,keleigh.reynolds@dec.ny.gov_nysdec,1
1881,72a0141a-a3cd-44ab-818a-1bc1b70f5a4a,Odonata: Anisoptera,Cordulegastridae,(Odonata: Anisoptera) Cordulegastridae,,,d78c9ba3-80a7-4965-892d-79dc7956f681,,1/10/2023 18:43,keleigh.reynolds@dec.ny.gov_nysdec,1/10/2023 18:43,keleigh.reynolds@dec.ny.gov_nysdec,2
1882,234bbf4b-5440-4380-8f5a-8ef089869ba5,Diptera: Chironomidae,,(Diptera: Chironomidae) ,,,d78c9ba3-80a7-4965-892d-79dc7956f681,,1/10/2023 18:43,keleigh.reynolds@dec.ny.gov_nysdec,1/10/2023 18:43,keleigh.reynolds@dec.ny.gov_nysdec,1
1883,720631e9-744f-491f-8202-42687481c065,Ephemeroptera,Isonychiidae,(Ephemeroptera) Isonychiidae,,exuvia,d78c9ba3-80a7-4965-892d-79dc7956f681,,1/10/2023 18:43,keleigh.reynolds@dec.ny.gov_nysdec,1/10/2023 18:43,keleigh.reynolds@dec.ny.gov_nysdec,1
1884,1801dcbd-d329-437f-8c11-08ae2f1a3cc0,Trichoptera,Rhyacophilidae,(Trichoptera) Rhyacophilidae,,,d78c9ba3-80a7-4965-892d-79dc7956f681,,1/10/2023 18:43,keleigh.reynolds@dec.ny.gov_nysdec,1/10/2023 18:43,keleigh.reynolds@dec.ny.gov_nysdec,1
1885,b4a9f00f-d977-4c85-8653-3777b09f7f7f,OTHER,,(OTHER) ,"2 adult bugs, not id'd",,d78c9ba3-80a7-4965-892d-79dc7956f681,,1/10/2023 18:43,keleigh.reynolds@dec.ny.gov_nysdec,1/10/2023 18:43,keleigh.reynolds@dec.ny.gov_nysdec,2
1886,79a0fa3e-a742-4cdc-8b07-af1a6a2a3c3d,Plecoptera,Perlidae,(Plecoptera) Perlidae,,,d78c9ba3-80a7-4965-892d-79dc7956f681,,1/10/2023 18:43,keleigh.reynolds@dec.ny.gov_nysdec,1/10/2023 18:43,keleigh.reynolds@dec.ny.gov_nysdec,4
1887,964ed46e-f97b-4c0a-8301-b5d892ed31d1,Wormlike,Other,(Wormlike) Other,very thin white worm,,d78c9ba3-80a7-4965-892d-79dc7956f681,,1/10/2023 18:43,keleigh.reynolds@dec.ny.gov_nysdec,1/10/2023 18:43,keleigh.reynolds@dec.ny.gov_nysdec,1
1888,038b07e4-537f-4d73-8768-376ff102988a,Trichoptera,Helicopsychidae,(Trichoptera) Helicopsychidae,,,64c9a679-292b-46d5-889f-58aae92c0fb1,,1/20/2023 13:25,keleigh.reynolds@dec.ny.gov_nysdec,1/20/2023 13:25,keleigh.reynolds@dec.ny.gov_nysdec,1
1889,f196e1cf-377d-446f-8910-f03f803ec2dc,Diptera,,(Diptera) Limoniidae,,,64c9a679-292b-46d5-889f-58aae92c0fb1,,1/20/2023 13:25,keleigh.reynolds@dec.ny.gov_nysdec,1/20/2023 13:25,keleigh.reynolds@dec.ny.gov_nysdec,2
1890,6131a470-0047-45c2-8cb6-981b1de8dce2,Diptera: Chironomidae,,(Diptera: Chironomidae) ,,,64c9a679-292b-46d5-889f-58aae92c0fb1,,1/20/2023 13:25,keleigh.reynolds@dec.ny.gov_nysdec,1/20/2023 13:25,keleigh.reynolds@dec.ny.gov_nysdec,2
1891,8c0c0dfa-1a5e-4dae-8f5d-093039cdb579,Coleoptera,Psephenidae,(Coleoptera) Psephenidae,,,64c9a679-292b-46d5-889f-58aae92c0fb1,,1/20/2023 13:25,keleigh.reynolds@dec.ny.gov_nysdec,1/20/2023 13:25,keleigh.reynolds@dec.ny.gov_nysdec,1
1892,0bf4ad5a-5652-4ac8-8bab-c68cbfa0a9e4,Coleoptera,Elmidae,(Coleoptera) Elmidae,,,64c9a679-292b-46d5-889f-58aae92c0fb1,,1/20/2023 13:25,keleigh.reynolds@dec.ny.gov_nysdec,1/20/2023 13:25,keleigh.reynolds@dec.ny.gov_nysdec,2
1893,81a7744b-9921-454e-84fa-4918cade478e,Wormlike,Oligochaeta,(Wormlike) Oligochaeta,,,64c9a679-292b-46d5-889f-58aae92c0fb1,,1/20/2023 13:25,keleigh.reynolds@dec.ny.gov_nysdec,1/20/2023 13:25,keleigh.reynolds@dec.ny.gov_nysdec,1
1894,8316fdba-78ba-4c62-8ce9-512ebb1b1d5e,Odonata: Anisoptera,Aeshnidae,(Odonata: Anisoptera) Aeshnidae,,,64c9a679-292b-46d5-889f-58aae92c0fb1,,1/20/2023 13:25,keleigh.reynolds@dec.ny.gov_nysdec,1/20/2023 13:25,keleigh.reynolds@dec.ny.gov_nysdec,2
1895,a73dfae1-7568-40d2-86b5-a429deb2ceda,Plecoptera,Perlidae,(Plecoptera) Perlidae,,,64c9a679-292b-46d5-889f-58aae92c0fb1,,1/20/2023 13:25,keleigh.reynolds@dec.ny.gov_nysdec,1/20/2023 13:25,keleigh.reynolds@dec.ny.gov_nysdec,3
1896,1fd18a0f-a990-42d1-8cd8-3cd5de522f56,Ephemeroptera,Leptohyphidae,(Ephemeroptera) Leptohyphidae,,,64c9a679-292b-46d5-889f-58aae92c0fb1,,1/20/2023 13:25,keleigh.reynolds@dec.ny.gov_nysdec,1/20/2023 13:25,keleigh.reynolds@dec.ny.gov_nysdec,2
1897,dc7bafbd-5a01-40b0-8dc8-3b97b8b5055e,Trichoptera,Philopotamidae,(Trichoptera) Philopotamidae,,,64c9a679-292b-46d5-889f-58aae92c0fb1,,1/20/2023 13:25,keleigh.reynolds@dec.ny.gov_nysdec,1/20/2023 13:25,keleigh.reynolds@dec.ny.gov_nysdec,4
1898,b1cd1089-f151-43f0-832c-ddc7063648a8,Trichoptera,Hydropsychidae,(Trichoptera) Hydropsychidae,,,64c9a679-292b-46d5-889f-58aae92c0fb1,,1/20/2023 13:25,keleigh.reynolds@dec.ny.gov_nysdec,1/20/2023 13:25,keleigh.reynolds@dec.ny.gov_nysdec,1
1899,1fc2e775-61b0-48f0-849e-35f54a371b5e,Trichoptera,Odontoceridae,(Trichoptera) Odontoceridae,,,64c9a679-292b-46d5-889f-58aae92c0fb1,,1/20/2023 13:25,keleigh.reynolds@dec.ny.gov_nysdec,1/20/2023 13:25,keleigh.reynolds@dec.ny.gov_nysdec,1
1900,eba2604a-7971-43b1-8d02-7a1fe23a000c,Trichoptera,Odontoceridae,(Trichoptera) Odontoceridae,,,64c9a679-292b-46d5-889f-58aae92c0fb1,,1/20/2023 13:25,keleigh.reynolds@dec.ny.gov_nysdec,1/20/2023 13:25,keleigh.reynolds@dec.ny.gov_nysdec,1
1901,099adb57-8a11-4ebe-8528-d32dba31f04a,Diptera,,(Diptera) Limoniiadae,,onion butt,8237625a-c62a-4b85-8edc-0c75dcfbe2c8,,1/24/2023 16:46,keleigh.reynolds@dec.ny.gov_nysdec,1/24/2023 16:46,keleigh.reynolds@dec.ny.gov_nysdec,2
1902,d4d19ef7-5786-4c72-8028-7dc603223069,Trichoptera,Hydropsychidae,(Trichoptera) Hydropsychidae,,,8237625a-c62a-4b85-8edc-0c75dcfbe2c8,,1/24/2023 16:46,keleigh.reynolds@dec.ny.gov_nysdec,1/24/2023 16:46,keleigh.reynolds@dec.ny.gov_nysdec,6
1903,4562844c-29c7-40df-8dab-8da22f5f5776,Trichoptera,Philopotamidae,(Trichoptera) Philopotamidae,,,8237625a-c62a-4b85-8edc-0c75dcfbe2c8,,1/24/2023 16:46,keleigh.reynolds@dec.ny.gov_nysdec,1/24/2023 16:46,keleigh.reynolds@dec.ny.gov_nysdec,2
1904,3640ff49-65e4-48f9-8fd6-17385cf127ed,Coleoptera,Dytiscidae,(Coleoptera) Dytiscidae,,,8237625a-c62a-4b85-8edc-0c75dcfbe2c8,,1/24/2023 16:46,keleigh.reynolds@dec.ny.gov_nysdec,1/24/2023 16:46,keleigh.reynolds@dec.ny.gov_nysdec,1
1905,5bef2d91-72c1-4ceb-89c6-fbc1ad92482d,Odonata: Anisoptera,Gomphidae,(Odonata: Anisoptera) Gomphidae,,,8237625a-c62a-4b85-8edc-0c75dcfbe2c8,,1/24/2023 16:46,keleigh.reynolds@dec.ny.gov_nysdec,1/24/2023 16:46,keleigh.reynolds@dec.ny.gov_nysdec,1
1906,e8f41f19-b155-41bc-8773-287f13c5a92b,Plecoptera,Perlidae,(Plecoptera) Perlidae,,,8237625a-c62a-4b85-8edc-0c75dcfbe2c8,,1/24/2023 16:46,keleigh.reynolds@dec.ny.gov_nysdec,1/24/2023 16:46,keleigh.reynolds@dec.ny.gov_nysdec,1
1907,f8657db9-a946-4c85-8ef4-7cbfe63eac83,Plecoptera,Chloroperlidae,(Plecoptera) Chloroperlidae,,,8237625a-c62a-4b85-8edc-0c75dcfbe2c8,,1/24/2023 16:46,keleigh.reynolds@dec.ny.gov_nysdec,1/24/2023 16:46,keleigh.reynolds@dec.ny.gov_nysdec,1
1908,306003b1-9a6f-4898-8aff-d441069a142c,Trichoptera,Glossosomatidae,(Trichoptera) Glossosomatidae,,"several cases, one bug out of one of them",8237625a-c62a-4b85-8edc-0c75dcfbe2c8,,1/24/2023 16:46,keleigh.reynolds@dec.ny.gov_nysdec,1/24/2023 16:46,keleigh.reynolds@dec.ny.gov_nysdec,1
1909,589b59a9-56c2-4211-8f8d-8fe35069a1f2,Ephemeroptera,Baetiscidae,(Ephemeroptera) Baetiscidae,,,8237625a-c62a-4b85-8edc-0c75dcfbe2c8,,1/24/2023 16:46,keleigh.reynolds@dec.ny.gov_nysdec,1/24/2023 16:46,keleigh.reynolds@dec.ny.gov_nysdec,2
1910,4e099bc3-3c9b-4845-8fd0-62ba23223e60,Ephemeroptera,Ephemerellidae,(Ephemeroptera) Ephemerellidae,,,8237625a-c62a-4b85-8edc-0c75dcfbe2c8,,1/24/2023 16:46,keleigh.reynolds@dec.ny.gov_nysdec,1/24/2023 16:46,keleigh.reynolds@dec.ny.gov_nysdec,5
1911,6ce7a2c0-41d6-4c1c-8d52-b3c0bfe0f866,Ephemeroptera,Baetidae,(Ephemeroptera) Baetidae,,,8237625a-c62a-4b85-8edc-0c75dcfbe2c8,,1/24/2023 16:46,keleigh.reynolds@dec.ny.gov_nysdec,1/24/2023 16:46,keleigh.reynolds@dec.ny.gov_nysdec,4
1912,aae093b0-5966-4c98-8ef6-54babd028695,Ephemeroptera,Leptophlebiidae,(Ephemeroptera) Leptophlebiidae,,,8237625a-c62a-4b85-8edc-0c75dcfbe2c8,,1/24/2023 16:46,keleigh.reynolds@dec.ny.gov_nysdec,1/24/2023 16:46,keleigh.reynolds@dec.ny.gov_nysdec,1
1913,537f6281-8a5c-4cc8-800f-97729c6994ec,,,() ,,,8237625a-c62a-4b85-8edc-0c75dcfbe2c8,,1/24/2023 16:46,keleigh.reynolds@dec.ny.gov_nysdec,1/24/2023 16:46,keleigh.reynolds@dec.ny.gov_nysdec,
1914,e1082c61-23e6-4afc-8c1f-985d7159a77d,Odonata: Anisoptera,Cordulegastridae,(Odonata: Anisoptera) Cordulegastridae,,,468833bb-6ef7-4517-8d0a-aa8abcd02f7e,,1/24/2023 17:27,keleigh.reynolds@dec.ny.gov_nysdec,1/24/2023 17:27,keleigh.reynolds@dec.ny.gov_nysdec,1
1915,0ea22f27-9101-47dd-8ddd-68c496f4c9f4,Diptera: Chironomidae,,(Diptera: Chironomidae) ,,,468833bb-6ef7-4517-8d0a-aa8abcd02f7e,,1/24/2023 17:27,keleigh.reynolds@dec.ny.gov_nysdec,1/24/2023 17:27,keleigh.reynolds@dec.ny.gov_nysdec,2
1916,3450f2be-7244-47a1-895d-851e0bda4161,Plecoptera,Perlidae,(Plecoptera) Perlidae,,,468833bb-6ef7-4517-8d0a-aa8abcd02f7e,,1/24/2023 17:27,keleigh.reynolds@dec.ny.gov_nysdec,1/24/2023 17:27,keleigh.reynolds@dec.ny.gov_nysdec,6
1917,362eefe9-47a0-46f4-8d7f-51992e0fcda9,Trichoptera,Hydropsychidae,(Trichoptera) Hydropsychidae,,,468833bb-6ef7-4517-8d0a-aa8abcd02f7e,,1/24/2023 17:27,keleigh.reynolds@dec.ny.gov_nysdec,1/24/2023 17:27,keleigh.reynolds@dec.ny.gov_nysdec,5
1918,161c6b0a-bdd9-450b-883a-276765354181,Trichoptera,Philopotamidae,(Trichoptera) Philopotamidae,,,468833bb-6ef7-4517-8d0a-aa8abcd02f7e,,1/24/2023 17:27,keleigh.reynolds@dec.ny.gov_nysdec,1/24/2023 17:27,keleigh.reynolds@dec.ny.gov_nysdec,1
1919,97be83d5-91ce-4cc6-8a8f-e439a569a85c,Wormlike,Oligochaeta,(Wormlike) Oligochaeta,,,468833bb-6ef7-4517-8d0a-aa8abcd02f7e,,1/24/2023 17:27,keleigh.reynolds@dec.ny.gov_nysdec,1/24/2023 17:27,keleigh.reynolds@dec.ny.gov_nysdec,2
1920,83c9e478-670d-455a-8bc7-f592c38720fe,Crustacea: Amphipoda,Gammaridea,(Crustacea: Amphipoda) Gammaridea,,,468833bb-6ef7-4517-8d0a-aa8abcd02f7e,,1/24/2023 17:27,keleigh.reynolds@dec.ny.gov_nysdec,1/24/2023 17:27,keleigh.reynolds@dec.ny.gov_nysdec,1
1921,d2d66195-4172-4ea0-8b97-6150de177d49,Hemiptera,Other,(Hemiptera) Other,,,468833bb-6ef7-4517-8d0a-aa8abcd02f7e,,1/24/2023 17:27,keleigh.reynolds@dec.ny.gov_nysdec,1/24/2023 17:27,keleigh.reynolds@dec.ny.gov_nysdec,
1922,b16c12a9-8540-45d4-8522-f0a2a8f59c91,OTHER,,(OTHER) ,polydesmia,,468833bb-6ef7-4517-8d0a-aa8abcd02f7e,,1/24/2023 17:27,keleigh.reynolds@dec.ny.gov_nysdec,1/24/2023 17:27,keleigh.reynolds@dec.ny.gov_nysdec,2
1923,3f2fa1e5-6b70-45f9-8ec4-0895fedccf16,Ephemeroptera,Isonychiidae,(Ephemeroptera) Isonychiidae,,,468833bb-6ef7-4517-8d0a-aa8abcd02f7e,,1/24/2023 17:27,keleigh.reynolds@dec.ny.gov_nysdec,1/24/2023 17:27,keleigh.reynolds@dec.ny.gov_nysdec,
1924,c5fa7c4b-c9df-4de5-8edf-d565b253938a,Ephemeroptera,Leptohyphidae,(Ephemeroptera) Leptohyphidae,,,468833bb-6ef7-4517-8d0a-aa8abcd02f7e,,1/24/2023 17:27,keleigh.reynolds@dec.ny.gov_nysdec,1/24/2023 17:27,keleigh.reynolds@dec.ny.gov_nysdec,1
1925,ed0101c3-2b26-4ae8-8bfb-d1bb83116967,Diptera,Athericidae,(Diptera) Athericidae,,,468833bb-6ef7-4517-8d0a-aa8abcd02f7e,,1/24/2023 17:27,keleigh.reynolds@dec.ny.gov_nysdec,1/24/2023 17:27,keleigh.reynolds@dec.ny.gov_nysdec,2
1926,936be817-6409-48e8-8cde-bab7b0e5e6f0,Diptera,Tipulidae,(Diptera) Tipulidae,,,468833bb-6ef7-4517-8d0a-aa8abcd02f7e,,1/24/2023 17:27,keleigh.reynolds@dec.ny.gov_nysdec,1/24/2023 17:27,keleigh.reynolds@dec.ny.gov_nysdec,2
1927,f1ad37e3-bb44-4b51-808f-6e741070c9b7,Coleoptera,Psephenidae,(Coleoptera) Psephenidae,,,65690873-a91d-4798-8220-525ce20f3152,,1/24/2023 19:12,makenzie.garrett@dec.ny.gov_nysdec,1/24/2023 19:12,makenzie.garrett@dec.ny.gov_nysdec,1
1928,51ea9e62-faeb-4776-83f1-2f51cb0cc864,Ephemeroptera,Isonychiidae,(Ephemeroptera) Isonychiidae,,,65690873-a91d-4798-8220-525ce20f3152,,1/24/2023 19:12,makenzie.garrett@dec.ny.gov_nysdec,1/24/2023 19:12,makenzie.garrett@dec.ny.gov_nysdec,2
1929,51503b33-f24f-46d0-86eb-d86b473fe847,Ephemeroptera,Heptageniidae,(Ephemeroptera) Heptageniidae,,,65690873-a91d-4798-8220-525ce20f3152,,1/24/2023 19:12,makenzie.garrett@dec.ny.gov_nysdec,1/24/2023 19:12,makenzie.garrett@dec.ny.gov_nysdec,2
1930,81e560a0-2cdb-41d4-8c48-bfc212a478e4,Ephemeroptera,Baetidae,(Ephemeroptera) Baetidae,,,65690873-a91d-4798-8220-525ce20f3152,,1/24/2023 19:12,makenzie.garrett@dec.ny.gov_nysdec,1/24/2023 19:12,makenzie.garrett@dec.ny.gov_nysdec,2
1931,34060cd5-f8d6-4fbc-84b7-a1500880b929,Trichoptera,Hydropsychidae,(Trichoptera) Hydropsychidae,,,65690873-a91d-4798-8220-525ce20f3152,,1/24/2023 19:12,makenzie.garrett@dec.ny.gov_nysdec,1/24/2023 19:12,makenzie.garrett@dec.ny.gov_nysdec,4
1932,18547ce8-143a-4209-8b30-0b6eee7c8082,Diptera,Limoniidae,(Diptera) Limoniidae,,,65690873-a91d-4798-8220-525ce20f3152,,1/24/2023 19:12,makenzie.garrett@dec.ny.gov_nysdec,1/24/2023 19:12,makenzie.garrett@dec.ny.gov_nysdec,
1933,2f88c0f5-ba3a-46f7-8626-78a7349ef691,Plecoptera,Perlidae,(Plecoptera) Perlidae,,,65690873-a91d-4798-8220-525ce20f3152,,1/24/2023 19:12,makenzie.garrett@dec.ny.gov_nysdec,1/24/2023 19:12,makenzie.garrett@dec.ny.gov_nysdec,2
1934,9077b2c5-a56c-4203-8b87-3f1dd6f2a590,Plecoptera,Capniidae,(Plecoptera) Capniidae,,,65690873-a91d-4798-8220-525ce20f3152,,1/24/2023 19:12,makenzie.garrett@dec.ny.gov_nysdec,1/24/2023 19:12,makenzie.garrett@dec.ny.gov_nysdec,1
1935,2c7e3a82-3edb-4388-89ed-7096c116bb4c,Diptera,Athericidae,(Diptera) Athericidae,,,65690873-a91d-4798-8220-525ce20f3152,,1/24/2023 19:12,makenzie.garrett@dec.ny.gov_nysdec,1/24/2023 19:12,makenzie.garrett@dec.ny.gov_nysdec,3
1936,8267ce35-c77e-4708-868e-9f2769a7ecf0,Trichoptera,Helicopsychidae,(Trichoptera) Helicopsychidae,,Case only,65690873-a91d-4798-8220-525ce20f3152,,1/24/2023 19:12,makenzie.garrett@dec.ny.gov_nysdec,1/24/2023 19:12,makenzie.garrett@dec.ny.gov_nysdec,1
1937,29cf4f2d-9a7c-4db4-8b85-7050e74289cd,Coleoptera,Dytiscidae,(Coleoptera) Dytiscidae,,,65690873-a91d-4798-8220-525ce20f3152,,1/24/2023 19:12,makenzie.garrett@dec.ny.gov_nysdec,1/24/2023 19:12,makenzie.garrett@dec.ny.gov_nysdec,5
1938,0470b8f1-0f47-490b-8377-e0207b68552e,Diptera,,(Diptera) Unknown,,,65690873-a91d-4798-8220-525ce20f3152,,1/24/2023 19:12,makenzie.garrett@dec.ny.gov_nysdec,1/24/2023 19:12,makenzie.garrett@dec.ny.gov_nysdec,1
1939,d3342fa4-7946-4d58-832b-8232dc5f462c,Coleoptera,Curculionidae,(Coleoptera) Curculionidae,,,3dbeb012-d7ba-4807-8718-33da06344dad,,1/26/2023 13:27,makenzie.garrett@dec.ny.gov_nysdec,1/26/2023 13:27,makenzie.garrett@dec.ny.gov_nysdec,4
1940,69fb260d-63b1-4dac-80f9-ded505091c0a,Crustacea: Amphipoda,Gammaridea,(Crustacea: Amphipoda) Gammaridea,,,3dbeb012-d7ba-4807-8718-33da06344dad,,1/26/2023 13:27,makenzie.garrett@dec.ny.gov_nysdec,1/26/2023 13:27,makenzie.garrett@dec.ny.gov_nysdec,1
1941,880f0870-77e9-43f5-8b2f-f909caddcf8c,Diptera,Tipulidae,(Diptera) Tipulidae,,,3dbeb012-d7ba-4807-8718-33da06344dad,,1/26/2023 13:27,makenzie.garrett@dec.ny.gov_nysdec,1/26/2023 13:27,makenzie.garrett@dec.ny.gov_nysdec,1
